r[σ]         g_ii        
 1.08204e+01  4.52384e-05
 1.08574e+01  4.45215e-05
 1.08943e+01  4.37868e-05
 1.09312e+01  4.30361e-05
 1.09682e+01  4.22730e-05
 1.10051e+01  4.15020e-05
 1.10420e+01  4.07284e-05
 1.10790e+01  3.99578e-05
 1.11159e+01  3.91958e-05
 1.11528e+01  3.84478e-05
 1.11897e+01  3.77183e-05
 1.12267e+01  3.70113e-05
 1.12636e+01  3.63295e-05
 1.13005e+01  3.56748e-05
 1.13375e+01  3.50479e-05
 1.13744e+01  3.44485e-05
 1.14113e+01  3.38754e-05
 1.14483e+01  3.33265e-05
 1.14852e+01  3.27993e-05
 1.15221e+01  3.22907e-05
 1.15590e+01  3.17974e-05
 1.15960e+01  3.13161e-05
 1.16329e+01  3.08438e-05
 1.16698e+01  3.03775e-05
 1.17068e+01  2.99148e-05
 1.17437e+01  2.94538e-05
 1.17806e+01  2.89932e-05
 1.18176e+01  2.85322e-05
 1.18545e+01  2.80705e-05
 1.18914e+01  2.76085e-05
 1.19283e+01  2.71468e-05
 1.19653e+01  2.66866e-05
 1.20022e+01  2.62291e-05
 1.20391e+01  2.57758e-05
 1.20761e+01  2.53283e-05
 1.21130e+01  2.48880e-05
 1.21499e+01  2.44562e-05
 1.21869e+01  2.40340e-05
 1.22238e+01  2.36224e-05
 1.22607e+01  2.32218e-05
 1.22976e+01  2.28325e-05
 1.23346e+01  2.24546e-05
 1.23715e+01  2.20878e-05
 1.24084e+01  2.17314e-05
 1.24454e+01  2.13848e-05
 1.24823e+01  2.10471e-05
 1.25192e+01  2.07173e-05
 1.25562e+01  2.03945e-05
 1.25931e+01  2.00777e-05
 1.26300e+01  1.97660e-05
 1.26669e+01  1.94586e-05
 1.27039e+01  1.91548e-05
 1.27408e+01  1.88542e-05
 1.27777e+01  1.85564e-05
 1.28147e+01  1.82613e-05
 1.28516e+01  1.79687e-05
 1.28885e+01  1.76788e-05
 1.29255e+01  1.73918e-05
 1.29624e+01  1.71080e-05
 1.29993e+01  1.68278e-05
 1.30362e+01  1.65515e-05
 1.30732e+01  1.62796e-05
 1.31101e+01  1.60123e-05
 1.31470e+01  1.57500e-05
 1.31840e+01  1.54929e-05
 1.32209e+01  1.52412e-05
 1.32578e+01  1.49949e-05
 1.32948e+01  1.47541e-05
 1.33317e+01  1.45185e-05
 1.33686e+01  1.42882e-05
 1.34055e+01  1.40629e-05
 1.34425e+01  1.38422e-05
 1.34794e+01  1.36259e-05
 1.35163e+01  1.34138e-05
 1.35533e+01  1.32054e-05
 1.35902e+01  1.30005e-05
 1.36271e+01  1.27988e-05
 1.36640e+01  1.26000e-05
 1.37010e+01  1.24041e-05
 1.37379e+01  1.22108e-05
 1.37748e+01  1.20200e-05
 1.38118e+01  1.18316e-05
 1.38487e+01  1.16458e-05
 1.38856e+01  1.14624e-05
 1.39226e+01  1.12815e-05
 1.39595e+01  1.11032e-05
 1.39964e+01  1.09276e-05
 1.40333e+01  1.07547e-05
 1.40703e+01  1.05846e-05
 1.41072e+01  1.04174e-05
 1.41441e+01  1.02532e-05
 1.41811e+01  1.00919e-05
 1.42180e+01  9.93364e-06
 1.42549e+01  9.77831e-06
 1.42919e+01  9.62589e-06
 1.43288e+01  9.47634e-06
 1.43657e+01  9.32956e-06
 1.44026e+01  9.18548e-06
 1.44396e+01  9.04397e-06
 1.44765e+01  8.90495e-06
 1.45134e+01  8.76829e-06
 1.45504e+01  8.63389e-06
 1.45873e+01  8.50164e-06
 1.46242e+01  8.37146e-06
 1.46612e+01  8.24325e-06
 1.46981e+01  8.11697e-06
 1.47350e+01  7.99254e-06
 1.47719e+01  7.86994e-06
 1.48089e+01  7.74912e-06
 1.48458e+01  7.63009e-06
 1.48827e+01  7.51281e-06
 1.49197e+01  7.39731e-06
 1.49566e+01  7.28357e-06
 1.49935e+01  7.17162e-06
 1.50305e+01  7.06144e-06
 1.50674e+01  6.95305e-06
 1.51043e+01  6.84645e-06
 1.51412e+01  6.74163e-06
 1.51782e+01  6.63858e-06
 1.52151e+01  6.53728e-06
 1.52520e+01  6.43772e-06
 1.52890e+01  6.33986e-06
 1.53259e+01  6.24366e-06
 1.53628e+01  6.14910e-06
 1.53998e+01  6.05612e-06
 1.54367e+01  5.96468e-06
 1.54736e+01  5.87474e-06
 1.55105e+01  5.78624e-06
 1.55475e+01  5.69916e-06
 1.55844e+01  5.61345e-06
 1.56213e+01  5.52906e-06
 1.56583e+01  5.44598e-06
 1.56952e+01  5.36416e-06
 1.57321e+01  5.28359e-06
 1.57691e+01  5.20424e-06
 1.58060e+01  5.12609e-06
 1.58429e+01  5.04913e-06
