# atom Be1 T=4.4 eV, r_i=1.72, Zbar (TFDW) =2.357 , solve_err=5.282e-07
#  r/r_i 				 gii(r/r_i) 				 gie(r/r_i) 				 gee(r/r_i)
1.140000000000000124e+00 8.466879192815907063e-01 9.808279987118139198e-01 9.615370215807482746e-01
1.159999999999999920e+00 8.702463237243327487e-01 9.800838324214052877e-01 9.638033827905171380e-01
1.179999999999999938e+00 8.919921967314976552e-01 9.796597965961079124e-01 9.658764109446947854e-01
1.199999999999999956e+00 9.119664676451333385e-01 9.795159136893960561e-01 9.677781801213526380e-01
1.219999999999999973e+00 9.302113198628225721e-01 9.796152073656277937e-01 9.695260877932090349e-01
1.239999999999999991e+00 9.467906554273612940e-01 9.799235618152876137e-01 9.711383228830190451e-01
1.260000000000000009e+00 9.617661339245411334e-01 9.804095953650815432e-01 9.726289575111504160e-01
1.280000000000000027e+00 9.752157363138068691e-01 9.810445397258655831e-01 9.740127060158849659e-01
1.300000000000000044e+00 9.872125394103381524e-01 9.818021253115388758e-01 9.753006941880127956e-01
1.320000000000000062e+00 9.978415886138460866e-01 9.826584672406282195e-01 9.765046184512791161e-01
1.340000000000000080e+00 1.007181181499354539e+00 9.835919528912461240e-01 9.776330745664452149e-01
1.360000000000000098e+00 1.015318203401943009e+00 9.845831281732045914e-01 9.786952056750848339e-01
1.380000000000000115e+00 1.022331656233168795e+00 9.856145835074288097e-01 9.796974958523700927e-01
1.400000000000000133e+00 1.028306579340286797e+00 9.866708385434538320e-01 9.806469801359898320e-01
1.419999999999999929e+00 1.033319554493179249e+00 9.877382264529392941e-01 9.815484268952744396e-01
1.439999999999999947e+00 1.037451319292157281e+00 9.888047781020353755e-01 9.824071708590025320e-01
1.459999999999999964e+00 1.040773994097787369e+00 9.898601065932072229e-01 9.832266230237488580e-01
1.479999999999999982e+00 1.043362489453111275e+00 9.908952932779940825e-01 9.840107780811125915e-01
1.500000000000000000e+00 1.045283225903557156e+00 9.919027752764538741e-01 9.847620022857125344e-01
1.520000000000000018e+00 1.046604435119674603e+00 9.928762360563673228e-01 9.854832588978543750e-01
1.540000000000000036e+00 1.047386172326125964e+00 9.938104986239925109e-01 9.861761336955032764e-01
1.560000000000000053e+00 1.047689609656999199e+00 9.947014230961916947e-01 9.868428156371630289e-01
1.580000000000000071e+00 1.047568169102438773e+00 9.955458077525717320e-01 9.874843270361874925e-01
1.600000000000000089e+00 1.047075904309356265e+00 9.963412954088224360e-01 9.881022912958514759e-01
1.620000000000000107e+00 1.046259607360850108e+00 9.970862838256792093e-01 9.886973405742002230e-01
1.640000000000000124e+00 1.045166371125400673e+00 9.977798419849955858e-01 9.892706979276369994e-01
1.660000000000000142e+00 1.043836544970088376e+00 9.984216306501690896e-01 9.898227399053421971e-01
1.679999999999999938e+00 1.042310563961698966e+00 9.990118289934374340e-01 9.903544166000216586e-01
1.699999999999999956e+00 1.040622646774824522e+00 9.995510654995551914e-01 9.908659502820506004e-01
1.719999999999999973e+00 1.038806971027602222e+00 1.000040354864329739e+00 9.913581135787841170e-01
1.739999999999999991e+00 1.036892021605838599e+00 1.000481038971361203e+00 9.918310481954959457e-01
1.760000000000000009e+00 1.034906183757535736e+00 1.000874733598392741e+00 9.922854186383585073e-01
1.780000000000000027e+00 1.032872662396365993e+00 1.001223278878683454e+00 9.927213374339282081e-01
1.800000000000000044e+00 1.030814556821925354e+00 1.001528695103272693e+00 9.931394094051650967e-01
1.820000000000000062e+00 1.028750281864058591e+00 1.001793141884852245e+00 9.935397517204203055e-01
1.840000000000000080e+00 1.026698180656855364e+00 1.002018882205848893e+00 9.939229416695480879e-01
1.860000000000000098e+00 1.024672387222193892e+00 1.002208249405717844e+00 9.942891214455947813e-01
1.880000000000000115e+00 1.022687026876938576e+00 1.002363618568250292e+00 9.946388606013841782e-01
1.900000000000000133e+00 1.020752467395689145e+00 1.002487380425038266e+00 9.949723367683716013e-01
1.919999999999999929e+00 1.018879150512022491e+00 1.002581919174590608e+00 9.952901224622138221e-01
1.939999999999999947e+00 1.017074185403257891e+00 1.002649592411620105e+00 9.955924340317402477e-01
1.959999999999999964e+00 1.015344849394567817e+00 1.002692714504593852e+00 9.958798511894586536e-01
1.979999999999999982e+00 1.013695483342384351e+00 1.002713541704565836e+00 9.961526274036297535e-01
2.000000000000000000e+00 1.012130695031836058e+00 1.002714260261814205e+00 9.964113494253634684e-01
2.020000000000000018e+00 1.010652521209765009e+00 1.002696975926822720e+00 9.966563031220116997e-01
2.040000000000000036e+00 1.009263363209225606e+00 1.002663706050801018e+00 9.968880793292377307e-01
2.060000000000000053e+00 1.007963384969973175e+00 1.002616372757322294e+00 9.971069897999235154e-01
2.080000000000000071e+00 1.006753207040062215e+00 1.002556798339784061e+00 9.973136249035717826e-01
2.100000000000000089e+00 1.005631513973595625e+00 1.002486701450532758e+00 9.975083149511582148e-01
2.120000000000000107e+00 1.004597529958961122e+00 1.002407695177298219e+00 9.976916445747960882e-01
2.140000000000000124e+00 1.003648812543630697e+00 1.002321285664778960e+00 9.978639552004782143e-01
2.160000000000000142e+00 1.002783530639110188e+00 1.002228872319964825e+00 9.980258203503200587e-01
2.180000000000000160e+00 1.001998424630898166e+00 1.002131748347737439e+00 9.981775854836544282e-01
2.200000000000000178e+00 1.001290905341094994e+00 1.002031102600702051e+00 9.983198079571693473e-01
2.220000000000000195e+00 1.000657163278076078e+00 1.001928021574556960e+00 9.984528308496674054e-01
2.240000000000000213e+00 1.000094105240098674e+00 1.001823492480980127e+00 9.985771908791192253e-01
2.260000000000000231e+00 9.995975977838140736e-01 1.001718406309749509e+00 9.986932231751228795e-01
2.280000000000000249e+00 9.991642564791778369e-01 1.001613561762863869e+00 9.988014400754182676e-01
2.300000000000000266e+00 9.987898106683030797e-01 1.001509669048175510e+00 9.989021641188610134e-01
2.319999999999999840e+00 9.984707588960191060e-01 1.001407354368842872e+00 9.989958803181546720e-01
2.339999999999999858e+00 9.982028437296003309e-01 1.001307164167160479e+00 9.990828949201679965e-01
2.359999999999999876e+00 9.979825855611960117e-01 1.001209569915256115e+00 9.991636634688597640e-01
2.379999999999999893e+00 9.978058577014914388e-01 1.001114972577485496e+00 9.992384731234046358e-01
2.399999999999999911e+00 9.976693095573717640e-01 1.001023707495703796e+00 9.993077485790824444e-01
2.419999999999999929e+00 9.975690334333173759e-01 1.000936048883775520e+00 9.993717559506658521e-01
2.439999999999999947e+00 9.975018870121948877e-01 1.000852214643536797e+00 9.994308884040541408e-01
2.459999999999999964e+00 9.974642443290742122e-01 1.000772370745474316e+00 9.994853898059148367e-01
