# atom Al1 T=1.0 eV, r_i=3.00, Zbar (TFDW) =2.989 , solve_err=3.295e-08
#  r/r_i 				 gii(r/r_i) 				 gie(r/r_i) 				 gee(r/r_i)
1.479999999999999982e+00 1.312109637562751008e+00 1.043984027416616334e+00 9.944128012538592243e-01
1.500000000000000000e+00 1.319422030936534318e+00 1.051013956697331997e+00 9.973722740657767760e-01
1.520000000000000018e+00 1.323168105083756707e+00 1.057086012152653298e+00 1.000136945802731825e+00
1.540000000000000036e+00 1.323599984145010344e+00 1.062208407023255807e+00 1.002696449716358851e+00
1.560000000000000053e+00 1.321103637245961471e+00 1.066401014592087471e+00 1.005046131269111243e+00
1.580000000000000071e+00 1.315919151353869054e+00 1.069693825817145116e+00 1.007179945686004219e+00
1.600000000000000089e+00 1.308404227343015869e+00 1.072125468753496902e+00 1.009097228706841598e+00
1.620000000000000107e+00 1.298784335563133441e+00 1.073741608559448668e+00 1.010796209242479371e+00
1.640000000000000124e+00 1.287388731566353028e+00 1.074593497735135239e+00 1.012280063679479092e+00
1.660000000000000142e+00 1.274427519915539486e+00 1.074736529948065566e+00 1.013550971856842731e+00
1.679999999999999938e+00 1.260201529263324405e+00 1.074228982455429193e+00 1.014615537771328180e+00
1.699999999999999956e+00 1.244903726708042058e+00 1.073130829570421385e+00 1.015479337261667503e+00
1.719999999999999973e+00 1.228805147432991296e+00 1.071502743502124266e+00 1.016151786597549123e+00
1.739999999999999991e+00 1.212078453506550746e+00 1.069405192923683634e+00 1.016641144523753981e+00
1.760000000000000009e+00 1.194962519377894550e+00 1.066897704406721381e+00 1.016958905524384171e+00
1.780000000000000027e+00 1.177606107087107334e+00 1.064038224330527083e+00 1.017115226764663261e+00
1.800000000000000044e+00 1.160213734760045634e+00 1.060882610388630409e+00 1.017122914665658184e+00
1.820000000000000062e+00 1.142907477343412914e+00 1.057484215494118862e+00 1.016993250056701603e+00
1.840000000000000080e+00 1.125856532274036592e+00 1.053893568579952422e+00 1.016739626375064987e+00
