# atom Cu1 T=1.0 eV, r_i=1.21, Zbar (TFDW) =2.667 , solve_err=1.092e-08
#  r/r_i 				 gii(r/r_i) 				 gie(r/r_i) 				 gee(r/r_i)
3.099999999999999978e-01 6.963318810448981822e-13 3.034984659286290132e+00 2.801739466826549396e-01
3.200000000000000067e-01 2.918110197924761451e-12 2.903819068154330996e+00 2.881236830026879803e-01
3.300000000000000155e-01 1.117017589535862498e-11 2.781766654756898216e+00 2.962420537346128757e-01
3.400000000000000244e-01 3.936617698485633809e-11 2.668076019967161372e+00 3.045222571778691822e-01
3.500000000000000333e-01 1.286597495209207409e-10 2.562067684387406619e+00 3.129706688603635101e-01
3.599999999999999867e-01 3.923285030182910305e-10 2.463126400141514960e+00 3.215779047516074129e-01
3.699999999999999956e-01 1.122785420193395112e-09 2.370694361584503529e+00 3.303529049169742215e-01
3.800000000000000044e-01 3.029743678162333254e-09 2.284265203052535220e+00 3.392801953723343367e-01
3.900000000000000133e-01 7.747710140115771082e-09 2.203378683869856580e+00 3.483802769204595862e-01
4.000000000000000222e-01 1.881096167721807433e-08 2.127615976538248521e+00 3.575596258930019422e-01
4.100000000000000311e-01 4.344063930794561657e-08 2.056595483097629184e+00 3.667285993743427674e-01
4.199999999999999845e-01 9.581005844250256587e-08 1.989969116214635347e+00 3.759076974858206466e-01
4.299999999999999933e-01 2.024284043722346382e-07 1.927418988319954174e+00 3.850854481075747238e-01
4.400000000000000022e-01 4.110117766131793360e-07 1.868654460702126929e+00 3.942694661547281321e-01
4.500000000000000111e-01 8.040609273951559999e-07 1.813409509513071116e+00 4.034532380901213466e-01
4.600000000000000200e-01 1.519499999491635833e-06 1.761440372054642989e+00 4.126405130238481878e-01
4.700000000000000289e-01 2.780000328272969057e-06 1.712523440496582783e+00 4.218262175738340947e-01
4.799999999999999822e-01 4.934650304710963553e-06 1.666453374983401403e+00 4.310119780174532789e-01
4.899999999999999911e-01 8.514202778808765970e-06 1.623041410948720564e+00 4.401931659469628944e-01
5.000000000000000000e-01 1.430515718336966557e-05 1.582113839047885495e+00 4.493699530097263750e-01
5.100000000000000089e-01 2.344172071688799264e-05 1.543510638336044627e+00 4.585377719067917912e-01
5.200000000000000178e-01 3.752310952542803335e-05 1.507084245954017687e+00 4.676956980938891117e-01
5.300000000000000266e-01 5.874992402010725812e-05 1.472698448395692861e+00 4.768390701281752797e-01
5.400000000000000355e-01 9.009090190448265645e-05 1.440227381242824567e+00 4.859661069702998493e-01
5.500000000000000444e-01 1.354637337853681345e-04 1.409554625920839799e+00 4.950720042565390777e-01
5.600000000000000533e-01 1.999488120891790288e-04 1.380572392975298435e+00 5.041543096611517116e-01
5.700000000000000622e-01 2.900028497482276535e-04 1.353180783345915073e+00 5.132080831130650944e-01
5.799999999999999600e-01 4.137058349613642605e-04 1.327287118620440687e+00 5.222303571297083336e-01
5.899999999999999689e-01 5.809823348434939305e-04 1.302805335288562905e+00 5.312160943362037591e-01
5.999999999999999778e-01 8.038566790938839191e-04 1.279655428205354051e+00 5.401619501074902407e-01
6.099999999999999867e-01 1.096644724991380215e-03 1.257762918318098277e+00 5.490628455280390785e-01
6.199999999999999956e-01 1.476184540200931039e-03 1.237058401862927148e+00 5.579151835926245973e-01
6.300000000000000044e-01 1.961953909359603898e-03 1.217477146390908871e+00 5.667139084617620615e-01
6.400000000000000133e-01 2.576242198103373404e-03 1.198958720973859027e+00 5.754552843201815593e-01
