# atom C1 T=2.0 eV, r_i=3.51, Zbar (TFDW) =1.476 , solve_err=4.731e-07
#  r/r_i 				 gii(r/r_i) 				 gie(r/r_i) 				 gee(r/r_i)
6.400000000000000133e-01 0.000000000000000000e+00 1.088456171585719057e+00 8.238888165216934345e-01
6.600000000000000311e-01 0.000000000000000000e+00 1.052547932196874703e+00 8.372094033569392746e-01
6.800000000000000488e-01 0.000000000000000000e+00 1.020820934984909112e+00 8.493004007260596122e-01
7.000000000000000666e-01 0.000000000000000000e+00 9.928061298333359375e-01 8.602224456885398940e-01
7.199999999999999734e-01 0.000000000000000000e+00 9.681022486398345173e-01 8.700956292148611659e-01
7.399999999999999911e-01 5.551115123125782702e-16 9.463650584742482330e-01 8.789874362271873354e-01
7.600000000000000089e-01 9.103828801926283631e-15 9.272985603825643075e-01 8.870014267486246995e-01
7.800000000000000266e-01 1.200151089619794220e-13 9.106477843116541626e-01 8.942050770571094986e-01
8.000000000000000444e-01 1.304956143144408998e-12 8.961928269991339402e-01 9.006892360221460114e-01
8.200000000000000622e-01 1.183908526769528180e-11 8.837439160817854855e-01 9.065176820111455758e-01
8.399999999999999689e-01 9.105716181068146398e-11 8.731372532714647416e-01 9.117696528801538802e-01
8.599999999999999867e-01 6.015381526225382913e-10 8.642314880847281611e-01 9.165028393731180500e-01
8.800000000000000044e-01 3.457475639123686051e-09 8.569046438156855405e-01 9.207851787814266276e-01
9.000000000000000222e-01 1.747570099741579952e-08 8.510513358129391248e-01 9.246668295734801202e-01
9.200000000000000400e-01 7.849705663254269439e-08 8.465800055963021986e-01 9.282047303712458453e-01
9.400000000000000577e-01 3.161029995535358239e-07 8.434106145048617664e-01 9.314408830430090935e-01
9.599999999999999645e-01 1.151105738173008319e-06 8.414723759676334680e-01 9.344218082810648029e-01
9.799999999999999822e-01 3.818299488811405240e-06 8.407014784783477523e-01 9.371814077230058437e-01
1.000000000000000000e+00 1.161986076603227502e-05 8.410387768892900739e-01 9.397566819799738624e-01
1.020000000000000018e+00 3.263867264657882572e-05 8.424275411151351811e-01 9.421739921021884401e-01
1.040000000000000036e+00 8.512340105604199181e-05 8.448112786282656606e-01 9.444619524145053679e-01
