r[Angstrom]  g(r)
1.554882432201826248e+01 1.000248984797753815e+00
1.569279491759250611e+01 1.000235168788571771e+00
1.583676551316674797e+01 1.000222231873552525e+00
1.598073610874099337e+01 1.000210114775709647e+00
1.612470670431523345e+01 1.000198750109859480e+00
1.626867729988947886e+01 1.000188078567939565e+00
1.641264789546372072e+01 1.000178049341974074e+00
1.655661849103796257e+01 1.000168616170244773e+00
1.670058908661220798e+01 1.000159741286500870e+00
1.684455968218644983e+01 1.000151396047658237e+00
1.698853027776069524e+01 1.000143556503111375e+00
1.713250087333493710e+01 1.000136190714776552e+00
1.727647146890917895e+01 1.000129259096940615e+00
1.742044206448342436e+01 1.000122727168233805e+00
1.756441266005766622e+01 1.000116565987394956e+00
1.770838325563190807e+01 1.000110749208029670e+00
1.785235385120615348e+01 1.000105256565583245e+00
1.799632444678039533e+01 1.000100074409731477e+00
1.814029504235464074e+01 1.000095191992823151e+00
1.828426563792888260e+01 1.000090591526095807e+00
1.842823623350312445e+01 1.000086248534435285e+00
1.857220682907736631e+01 1.000082142015555675e+00
1.871617742465161172e+01 1.000078254826114232e+00
1.886014802022585357e+01 1.000074571412383317e+00
1.900411861580009898e+01 1.000071080822570568e+00
1.914808921137434083e+01 1.000067777140495551e+00
1.929205980694858624e+01 1.000064656326402845e+00
1.943603040252282455e+01 1.000061708264341931e+00
1.958000099809707351e+01 1.000058917100085987e+00
1.972397159367131181e+01 1.000056269457521685e+00
1.986794218924555722e+01 1.000053754770777958e+00
2.001191278481979907e+01 1.000051363489747880e+00
2.015588338039404448e+01 1.000049089695188798e+00
2.029985397596828633e+01 1.000046931437087894e+00
2.044382457154253174e+01 1.000044888013749800e+00
2.058779516711677360e+01 1.000042953534306278e+00
2.073176576269101545e+01 1.000041117217085773e+00
2.087573635826525731e+01 1.000039370125830107e+00
2.101970695383950272e+01 1.000037705456609638e+00
2.116367754941374457e+01 1.000036117092899968e+00
2.130764814498798998e+01 1.000034601875471107e+00
2.145161874056223184e+01 1.000033159858245035e+00
2.159558933613647369e+01 1.000031791954969052e+00
2.173955993171071910e+01 1.000030494656600988e+00
2.188353052728496095e+01 1.000029260293273436e+00
2.202750112285920281e+01 1.000028082614707658e+00
2.217147171843344822e+01 1.000026957049632292e+00
2.231544231400769007e+01 1.000025879516159399e+00
2.245941290958193548e+01 1.000024848400649313e+00
2.260338350515617734e+01 1.000023864737701773e+00
2.274735410073042274e+01 1.000022930176912794e+00
2.289132469630466105e+01 1.000022042580055004e+00
2.303529529187890645e+01 1.000021196267776746e+00
2.317926588745314831e+01 1.000020386682768825e+00
