# atom Be1 T=4.4 eV, r_i=1.72, Zbar (TFDW) =2.357 , solve_err=2.706e-09
#  r/r_i 				 gii(r/r_i) 				 gie(r/r_i) 				 gee(r/r_i)
1.260000000000000009e+00 9.636305146192064575e-01 9.815497897215538226e-01 9.735188961675941277e-01
1.280000000000000027e+00 9.765895964061853673e-01 9.820985219649277509e-01 9.748624040672240199e-01
1.300000000000000044e+00 9.881122812587000981e-01 9.827710297999801003e-01 9.761111120671082109e-01
1.320000000000000062e+00 9.982852524890422075e-01 9.835437273726427287e-01 9.772767373039999983e-01
1.340000000000000080e+00 1.007188555592550383e+00 9.843952845363710402e-01 9.783678832784770130e-01
1.360000000000000098e+00 1.014910966429894756e+00 9.853065098786326637e-01 9.793937072359907292e-01
1.380000000000000115e+00 1.021533381106650706e+00 9.862602344647318775e-01 9.803606966847366877e-01
1.400000000000000133e+00 1.027142730325544484e+00 9.872411953927242578e-01 9.812758960473670911e-01
1.419999999999999929e+00 1.031817359150066116e+00 9.882359196212719965e-01 9.821440741506693994e-01
1.439999999999999947e+00 1.035639620854882592e+00 9.892326083914221302e-01 9.829705716045344932e-01
1.459999999999999964e+00 1.038683004793823805e+00 9.902210223735424810e-01 9.837587976468725737e-01
1.479999999999999982e+00 1.041023528883096017e+00 9.911923686628288932e-01 9.845127500231730666e-01
1.500000000000000000e+00 1.042728392346349953e+00 9.921391893544858620e-01 9.852347913408675550e-01
1.520000000000000018e+00 1.043866276066895749e+00 9.930552533040215568e-01 9.859278853782333929e-01
1.540000000000000036e+00 1.044497319824038373e+00 9.939354503893835791e-01 9.865936124194393253e-01
1.560000000000000053e+00 1.044682431997538963e+00 9.947756901340834013e-01 9.872341594576382606e-01
1.580000000000000071e+00 1.044474414784730243e+00 9.955728036213475907e-01 9.878505413538591906e-01
1.600000000000000089e+00 1.043926377840959097e+00 9.963244506593509353e-01 9.884443770001530849e-01
1.620000000000000107e+00 1.043083857922146862e+00 9.970290307960575360e-01 9.890162889824650749e-01
1.640000000000000124e+00 1.041992424343376911e+00 9.976856001493137338e-01 9.895674932142153324e-01
1.660000000000000142e+00 1.040690660500234621e+00 9.982937923887167386e-01 9.900983544142317738e-01
1.679999999999999938e+00 1.039217042284490855e+00 9.988537457860586777e-01 9.906098128500573363e-01
1.699999999999999956e+00 1.037603667583302691e+00 9.993660344820416430e-01 9.911020766290663531e-01
1.719999999999999973e+00 1.035882482003935179e+00 9.998316058099115944e-01 9.915759058864039854e-01
1.739999999999999991e+00 1.034079658684524228e+00 1.000251721704205510e+00 9.920314258379011596e-01
1.760000000000000009e+00 1.032221238956545273e+00 1.000627905948503926e+00 9.924692859198660511e-01
1.780000000000000027e+00 1.030328078773818712e+00 1.000961895231758714e+00 9.928895799293354640e-01
1.800000000000000044e+00 1.028420965420167255e+00 1.001255595679062749e+00 9.932928952007268331e-01
1.820000000000000062e+00 1.026516058813048637e+00 1.001511042818120645e+00 9.936793280894413716e-01
1.840000000000000080e+00 1.024629539166936887e+00 1.001730366562577634e+00 9.940494361955113378e-01
1.860000000000000098e+00 1.022773481616624069e+00 1.001915759204465184e+00 9.944033390291261432e-01
1.880000000000000115e+00 1.020960083964768561e+00 1.002069447917252720e+00 9.947415845150839875e-01
1.900000000000000133e+00 1.019197921748207891e+00 1.002193669821858535e+00 9.950643259892902881e-01
1.919999999999999929e+00 1.017495799883972651e+00 1.002290651042659020e+00 9.953721126983242629e-01
1.939999999999999947e+00 1.015859342695420775e+00 1.002362587886138190e+00 9.956651353724343956e-01
