# atom H1 T=2.0 eV, r_i=1.00, Zbar (TFDW) =1.391 , solve_err=3.344e-09
#  r/r_i 				 gii(r/r_i) 				 gie(r/r_i) 				 gee(r/r_i)
1.439999999999999947e+00 1.043915323660370875e+00 9.900987870207383912e-01 9.359177534822487043e-01
1.459999999999999964e+00 1.053393348928745255e+00 9.910666924953733803e-01 9.389576175872547115e-01
1.479999999999999982e+00 1.061485528013438762e+00 9.920132962474755844e-01 9.418306390223246671e-01
1.500000000000000000e+00 1.068277389456970150e+00 9.929333155216186757e-01 9.445470405411574566e-01
1.520000000000000018e+00 1.073855450856790794e+00 9.938222326792605088e-01 9.471165138005585016e-01
1.540000000000000036e+00 1.078306298853147105e+00 9.946762461789028231e-01 9.495482199560151271e-01
1.560000000000000053e+00 1.081715801290474399e+00 9.954922218191238903e-01 9.518507951802532840e-01
1.580000000000000071e+00 1.084168440368133091e+00 9.962676445093591182e-01 9.540323603668020569e-01
1.600000000000000089e+00 1.085746755370383676e+00 9.970005708149612955e-01 9.561005343271407053e-01
1.620000000000000107e+00 1.086530883724937446e+00 9.976895825022702446e-01 9.580624498406488110e-01
1.640000000000000124e+00 1.086598189585121554e+00 9.983337412869061067e-01 9.599247719703012383e-01
1.660000000000000142e+00 1.086022969763253299e+00 9.989325449650062749e-01 9.616937181117534150e-01
1.679999999999999938e+00 1.084876227596552001e+00 9.994858850832166741e-01 9.633750792984820954e-01
1.699999999999999956e+00 1.083225506135608640e+00 9.999940062794135942e-01 9.649742423394119806e-01
1.719999999999999973e+00 1.081134772872021976e+00 1.000457467402822820e+00 9.664962124177420844e-01
1.739999999999999991e+00 1.078664349026487779e+00 1.000877104499700909e+00 9.679456358292402030e-01
1.760000000000000009e+00 1.075870877185802987e+00 1.001253995729353363e+00 9.693268225852423869e-01
1.780000000000000027e+00 1.072807321786021673e+00 1.001589428255161618e+00 9.706437686490692052e-01
1.800000000000000044e+00 1.069522997588252089e+00 1.001884867136626278e+00 9.719001776148684657e-01
1.820000000000000062e+00 1.066063621874065781e+00 1.002141926231318259e+00 9.730994816744267251e-01
1.840000000000000080e+00 1.062471386606416823e+00 1.002362341100078602e+00 9.742448617506845876e-01
1.860000000000000098e+00 1.058785047257029266e+00 1.002547943894897209e+00 9.753392667061611121e-01
1.880000000000000115e+00 1.055040025402537607e+00 1.002700640196561022e+00 9.763854315607556345e-01
1.900000000000000133e+00 1.051268522540574457e+00 1.002822387758407707e+00 9.773858946762118416e-01
1.919999999999999929e+00 1.047499642883636950e+00 1.002915177103269384e+00 9.783430138844186885e-01
1.939999999999999947e+00 1.043759523155198154e+00 1.002981013912872088e+00 9.792589815535855946e-01
1.959999999999999964e+00 1.040071467648199244e+00 1.003021903142513604e+00 9.801358386006605583e-01
1.979999999999999982e+00 1.036456087012397997e+00 1.003039834788646889e+00 9.809754874701057670e-01
2.000000000000000000e+00 1.032931439421372444e+00 1.003036771232987068e+00 9.817797041088137666e-01
2.020000000000000018e+00 1.029513172933058662e+00 1.003014636083816580e+00 9.825501489744853378e-01
2.040000000000000036e+00 1.026214668005278829e+00 1.002975304433189496e+00 9.832883771206806234e-01
2.060000000000000053e+00 1.023047179259156891e+00 1.002920594447630487e+00 9.839958474059748994e-01
