# Zach Johnson Dec/11/2023 CHNC for TCCW Paper
# Ti=2.000e+00[eV], Tie=4.122e+01[eV] , Te_c=4.125e+01[eV], n_i=5.980e+23[1/cc], n_e=1.794e+24[1/cc]
# Zbar=3.000, Rc=0.525[AU], Γii=8.800e+01, Γei=-1.423e+00 , Γee=4.741e-01, κ=1.890e+00
r/ri        g_ii        g_ei        g_ee        HNC:g_ii    Yuk:g_ii    βu_ii_eff   βu_Yuk      βu_OCP    
8.70000e-01 4.18063e-09 1.03082e+00 8.87334e-01 1.47789e-08 5.35766e-04 3.61137e+01 1.03208e+02 1.33062e+01
8.80000e-01 2.34343e-08 1.02733e+00 8.90454e-01 3.02385e-08 7.88370e-04 3.51286e+01 1.02022e+02 1.28518e+01
8.90000e-01 6.24545e-08 1.02400e+00 8.93503e-01 6.17939e-08 1.14048e-03 3.41709e+01 1.00863e+02 1.24146e+01
9.00000e-01 1.39694e-07 1.02083e+00 8.96480e-01 1.24455e-07 1.62320e-03 3.32397e+01 9.97285e+01 1.19937e+01
9.10000e-01 2.88930e-07 1.01783e+00 8.99387e-01 2.45689e-07 2.27449e-03 3.23340e+01 9.86185e+01 1.15886e+01
9.20000e-01 5.70409e-07 1.01498e+00 9.02223e-01 4.74477e-07 3.13993e-03 3.14532e+01 9.75320e+01 1.11984e+01
9.30000e-01 1.08893e-06 1.01228e+00 9.04991e-01 8.96039e-07 4.27321e-03 3.05964e+01 9.64683e+01 1.08227e+01
9.40000e-01 2.02239e-06 1.00974e+00 9.07691e-01 1.65510e-06 5.73659e-03 2.97629e+01 9.54267e+01 1.04608e+01
9.50000e-01 3.66576e-06 1.00734e+00 9.10323e-01 2.99179e-06 7.60097e-03 2.89519e+01 9.44065e+01 1.01122e+01
9.60000e-01 6.49703e-06 1.00508e+00 9.12888e-01 5.29561e-06 9.94583e-03 2.81629e+01 9.34070e+01 9.77626e+00
9.70000e-01 1.12737e-05 1.00296e+00 9.15388e-01 9.18459e-06 1.28588e-02 2.73950e+01 9.24275e+01 9.45251e+00
9.80000e-01 1.91707e-05 1.00097e+00 9.17824e-01 1.56187e-05 1.64348e-02 2.66477e+01 9.14676e+01 9.14045e+00
9.90000e-01 3.19722e-05 9.99105e-01 9.20196e-01 2.60586e-05 2.07751e-02 2.59204e+01 9.05265e+01 8.83961e+00
1.00000e+00 5.23331e-05 9.97364e-01 9.22505e-01 4.26820e-05 2.59857e-02 2.52125e+01 8.96038e+01 8.54954e+00
1.01000e+00 8.41260e-05 9.95742e-01 9.24753e-01 6.86732e-05 3.21761e-02 2.45234e+01 8.86989e+01 8.26982e+00
1.02000e+00 1.32891e-04 9.94231e-01 9.26941e-01 1.08600e-04 3.94565e-02 2.38525e+01 8.78112e+01 8.00004e+00
1.03000e+00 2.06408e-04 9.92829e-01 9.29069e-01 1.68895e-04 4.79364e-02 2.31993e+01 8.69404e+01 7.73980e+00
1.04000e+00 3.15396e-04 9.91528e-01 9.31139e-01 2.58451e-04 5.77220e-02 2.25634e+01 8.60859e+01 7.48873e+00
1.05000e+00 4.74369e-04 9.90325e-01 9.33153e-01 3.89352e-04 6.89137e-02 2.19442e+01 8.52472e+01 7.24648e+00
1.06000e+00 7.02633e-04 9.89213e-01 9.35110e-01 5.77732e-04 8.16038e-02 2.13413e+01 8.44240e+01 7.01270e+00
1.07000e+00 1.02543e-03 9.88189e-01 9.37013e-01 8.44773e-04 9.58743e-02 2.07542e+01 8.36158e+01 6.78707e+00
1.08000e+00 1.47520e-03 9.87247e-01 9.38862e-01 1.21783e-03 1.11795e-01 2.01824e+01 8.28221e+01 6.56927e+00
1.09000e+00 2.09299e-03 9.86383e-01 9.40659e-01 1.73165e-03 1.29420e-01 1.96256e+01 8.20427e+01 6.35900e+00
1.10000e+00 2.92985e-03 9.85591e-01 9.42405e-01 2.42970e-03 1.48788e-01 1.90833e+01 8.12771e+01 6.15598e+00
1.11000e+00 4.04825e-03 9.84869e-01 9.44101e-01 3.36546e-03 1.69922e-01 1.85552e+01 8.05251e+01 5.95994e+00
1.12000e+00 5.52353e-03 9.84209e-01 9.45748e-01 4.60377e-03 1.92824e-01 1.80408e+01 7.97861e+01 5.77061e+00
1.13000e+00 7.44502e-03 9.83611e-01 9.47348e-01 6.22199e-03 2.17477e-01 1.75397e+01 7.90599e+01 5.58773e+00
1.14000e+00 9.91704e-03 9.83067e-01 9.48901e-01 8.31109e-03 2.43848e-01 1.70518e+01 7.83462e+01 5.41108e+00
1.15000e+00 1.30596e-02 9.82577e-01 9.50409e-01 1.09764e-02 2.71882e-01 1.65764e+01 7.76447e+01 5.24042e+00
1.16000e+00 1.70084e-02 9.82133e-01 9.51873e-01 1.43380e-02 3.01506e-01 1.61135e+01 7.69551e+01 5.07552e+00
1.17000e+00 2.19148e-02 9.81736e-01 9.53294e-01 1.85307e-02 3.32632e-01 1.56625e+01 7.62770e+01 4.91617e+00
1.18000e+00 2.79447e-02 9.81378e-01 9.54673e-01 2.37038e-02 3.65152e-01 1.52233e+01 7.56102e+01 4.76218e+00
1.19000e+00 3.52771e-02 9.81061e-01 9.56012e-01 3.00197e-02 3.98947e-01 1.47955e+01 7.49545e+01 4.61334e+00
1.20000e+00 4.41017e-02 9.80777e-01 9.57310e-01 3.76523e-02 4.33883e-01 1.43787e+01 7.43095e+01 4.46947e+00
1.21000e+00 5.46162e-02 9.80528e-01 9.58570e-01 4.67850e-02 4.69816e-01 1.39729e+01 7.36750e+01 4.33038e+00
1.22000e+00 6.70226e-02 9.80308e-01 9.59793e-01 5.76075e-02 5.06591e-01 1.35775e+01 7.30509e+01 4.19591e+00
1.23000e+00 8.15233e-02 9.80117e-01 9.60979e-01 7.03126e-02 5.44049e-01 1.31925e+01 7.24367e+01 4.06589e+00
1.24000e+00 9.83162e-02 9.79950e-01 9.62130e-01 8.50919e-02 5.82024e-01 1.28175e+01 7.18324e+01 3.94016e+00
1.25000e+00 1.17590e-01 9.79809e-01 9.63247e-01 1.02132e-01 6.20349e-01 1.24523e+01 7.12377e+01 3.81857e+00
1.26000e+00 1.39518e-01 9.79688e-01 9.64330e-01 1.21609e-01 6.58856e-01 1.20966e+01 7.06524e+01 3.70096e+00
1.27000e+00 1.64256e-01 9.79590e-01 9.65380e-01 1.43684e-01 6.97376e-01 1.17502e+01 7.00763e+01 3.58721e+00
1.28000e+00 1.91932e-01 9.79509e-01 9.66399e-01 1.68500e-01 7.35747e-01 1.14129e+01 6.95091e+01 3.47716e+00
1.29000e+00 2.22646e-01 9.79448e-01 9.67388e-01 1.96175e-01 7.73809e-01 1.10845e+01 6.89508e+01 3.37070e+00
1.30000e+00 2.56466e-01 9.79403e-01 9.68347e-01 2.26797e-01 8.11408e-01 1.07647e+01 6.84010e+01 3.26769e+00
1.31000e+00 2.93418e-01 9.79374e-01 9.69277e-01 2.60424e-01 8.48400e-01 1.04533e+01 6.78597e+01 3.16802e+00
1.32000e+00 3.33492e-01 9.79361e-01 9.70179e-01 2.97076e-01 8.84647e-01 1.01501e+01 6.73267e+01 3.07156e+00
1.33000e+00 3.76633e-01 9.79362e-01 9.71054e-01 3.36737e-01 9.20023e-01 9.85496e+00 6.68017e+01 2.97822e+00
1.34000e+00 4.22744e-01 9.79377e-01 9.71903e-01 3.79350e-01 9.54411e-01 9.56765e+00 6.62846e+01 2.88787e+00
1.35000e+00 4.71685e-01 9.79407e-01 9.72726e-01 4.24818e-01 9.87704e-01 9.28799e+00 6.57753e+01 2.80042e+00
1.36000e+00 5.23270e-01 9.79450e-01 9.73525e-01 4.73003e-01 1.01981e+00 9.01579e+00 6.52736e+01 2.71577e+00
1.37000e+00 5.77278e-01 9.79507e-01 9.74299e-01 5.23727e-01 1.05064e+00 8.75087e+00 6.47793e+01 2.63382e+00
1.38000e+00 6.33448e-01 9.79577e-01 9.75051e-01 5.76777e-01 1.08013e+00 8.49306e+00 6.42924e+01 2.55448e+00
1.39000e+00 6.91484e-01 9.79661e-01 9.75780e-01 6.31903e-01 1.10821e+00 8.24219e+00 6.38125e+01 2.47766e+00
1.40000e+00 7.51063e-01 9.79758e-01 9.76487e-01 6.88825e-01 1.13483e+00 7.99810e+00 6.33398e+01 2.40327e+00
1.41000e+00 8.11838e-01 9.79869e-01 9.77173e-01 7.47234e-01 1.15997e+00 7.76062e+00 6.28738e+01 2.33124e+00
1.42000e+00 8.73441e-01 9.79994e-01 9.77839e-01 8.06801e-01 1.18358e+00 7.52959e+00 6.24147e+01 2.26148e+00
1.43000e+00 9.35493e-01 9.80134e-01 9.78485e-01 8.67179e-01 1.20565e+00 7.30487e+00 6.19621e+01 2.19391e+00
1.44000e+00 9.97608e-01 9.80287e-01 9.79111e-01 9.28008e-01 1.22618e+00 7.08631e+00 6.15161e+01 2.12847e+00
1.45000e+00 1.05940e+00 9.80456e-01 9.79719e-01 9.88923e-01 1.24515e+00 6.87375e+00 6.10764e+01 2.06508e+00
1.46000e+00 1.12048e+00 9.80640e-01 9.80309e-01 1.04956e+00 1.26258e+00 6.66705e+00 6.06429e+01 2.00367e+00
1.47000e+00 1.18049e+00 9.80841e-01 9.80881e-01 1.10954e+00 1.27849e+00 6.46608e+00 6.02156e+01 1.94418e+00
1.48000e+00 1.23905e+00 9.81057e-01 9.81436e-01 1.16853e+00 1.29289e+00 6.27070e+00 5.97943e+01 1.88655e+00
1.49000e+00 1.29584e+00 9.81290e-01 9.81975e-01 1.22619e+00 1.30581e+00 6.08076e+00 5.93789e+01 1.83070e+00
1.50000e+00 1.35054e+00 9.81539e-01 9.82498e-01 1.28218e+00 1.31730e+00 5.89616e+00 5.89692e+01 1.77659e+00
1.51000e+00 1.40286e+00 9.81807e-01 9.83006e-01 1.33620e+00 1.32737e+00 5.71674e+00 5.85653e+01 1.72415e+00
1.52000e+00 1.45254e+00 9.82091e-01 9.83498e-01 1.38799e+00 1.33609e+00 5.54239e+00 5.81669e+01 1.67334e+00
1.53000e+00 1.49936e+00 9.82395e-01 9.83976e-01 1.43729e+00 1.34348e+00 5.37299e+00 5.77741e+01 1.62409e+00
1.54000e+00 1.54312e+00 9.82715e-01 9.84440e-01 1.48388e+00 1.34961e+00 5.20841e+00 5.73865e+01 1.57636e+00
1.55000e+00 1.58366e+00 9.83056e-01 9.84891e-01 1.52758e+00 1.35452e+00 5.04854e+00 5.70043e+01 1.53010e+00
1.56000e+00 1.62085e+00 9.83414e-01 9.85328e-01 1.56821e+00 1.35826e+00 4.89326e+00 5.66272e+01 1.48526e+00
1.57000e+00 1.65461e+00 9.83792e-01 9.85752e-01 1.60566e+00 1.36089e+00 4.74246e+00 5.62553e+01 1.44179e+00
1.58000e+00 1.68486e+00 9.84189e-01 9.86164e-01 1.63983e+00 1.36247e+00 4.59602e+00 5.58883e+01 1.39965e+00
1.59000e+00 1.71159e+00 9.84605e-01 9.86564e-01 1.67065e+00 1.36305e+00 4.45384e+00 5.55262e+01 1.35879e+00
1.60000e+00 1.73479e+00 9.85040e-01 9.86952e-01 1.69808e+00 1.36268e+00 4.31581e+00 5.51689e+01 1.31918e+00
1.61000e+00 1.75448e+00 9.85495e-01 9.87329e-01 1.72213e+00 1.36142e+00 4.18183e+00 5.48164e+01 1.28078e+00
