      r[a_0]     n[bound]   n[unbound]
1.219709e-04 1.416719e+00 4.582313e-02
1.236544e-04 1.418720e+00 4.588783e-02
1.253611e-04 1.420694e+00 4.595168e-02
1.270913e-04 1.422642e+00 4.601469e-02
1.288454e-04 1.424564e+00 4.607686e-02
1.306238e-04 1.426461e+00 4.613821e-02
1.324266e-04 1.428332e+00 4.619875e-02
1.342544e-04 1.430179e+00 4.625848e-02
1.361074e-04 1.432001e+00 4.631742e-02
1.379859e-04 1.433799e+00 4.637558e-02
1.398904e-04 1.435573e+00 4.643296e-02
1.418212e-04 1.437324e+00 4.648957e-02
1.437786e-04 1.439051e+00 4.654543e-02
1.457631e-04 1.440755e+00 4.660054e-02
1.477749e-04 1.442436e+00 4.665492e-02
1.498145e-04 1.444094e+00 4.670856e-02
1.518822e-04 1.445730e+00 4.676148e-02
1.539785e-04 1.447344e+00 4.681369e-02
1.561037e-04 1.448937e+00 4.686520e-02
1.582583e-04 1.450508e+00 4.691601e-02
1.604426e-04 1.452058e+00 4.696613e-02
1.626570e-04 1.453586e+00 4.701558e-02
1.649020e-04 1.455094e+00 4.706435e-02
1.671780e-04 1.456582e+00 4.711247e-02
1.694854e-04 1.458049e+00 4.715992e-02
1.718247e-04 1.459496e+00 4.720674e-02
1.741962e-04 1.460924e+00 4.725291e-02
1.766005e-04 1.462332e+00 4.729845e-02
1.790379e-04 1.463721e+00 4.734337e-02
1.815090e-04 1.465090e+00 4.738767e-02
1.840142e-04 1.466441e+00 4.743137e-02
1.865540e-04 1.467774e+00 4.747446e-02
1.891288e-04 1.469088e+00 4.751696e-02
1.917392e-04 1.470383e+00 4.755888e-02
1.943855e-04 1.471661e+00 4.760021e-02
1.970685e-04 1.472922e+00 4.764097e-02
1.997884e-04 1.474164e+00 4.768117e-02
2.025459e-04 1.475390e+00 4.772080e-02
2.053415e-04 1.476598e+00 4.775989e-02
2.081756e-04 1.477790e+00 4.779843e-02
2.110488e-04 1.478964e+00 4.783643e-02
2.139617e-04 1.480123e+00 4.787389e-02
2.169149e-04 1.481265e+00 4.791083e-02
2.199087e-04 1.482391e+00 4.794726e-02
2.229439e-04 1.483501e+00 4.798316e-02
2.260210e-04 1.484596e+00 4.801856e-02
2.291406e-04 1.485675e+00 4.805346e-02
2.323032e-04 1.486738e+00 4.808786e-02
2.355094e-04 1.487787e+00 4.812178e-02
2.387599e-04 1.488820e+00 4.815521e-02
2.420553e-04 1.489839e+00 4.818816e-02
2.453962e-04 1.490843e+00 4.822064e-02
2.487831e-04 1.491833e+00 4.825265e-02
2.522169e-04 1.492808e+00 4.828420e-02
2.556980e-04 1.493770e+00 4.831530e-02
2.592271e-04 1.494717e+00 4.834595e-02
2.628050e-04 1.495651e+00 4.837615e-02
2.664322e-04 1.496571e+00 4.840591e-02
2.701096e-04 1.497478e+00 4.843523e-02
2.738376e-04 1.498371e+00 4.846413e-02
2.776171e-04 1.499252e+00 4.849260e-02
2.814488e-04 1.500119e+00 4.852066e-02
2.853334e-04 1.500973e+00 4.854830e-02
2.892716e-04 1.501815e+00 4.857553e-02
2.932641e-04 1.502645e+00 4.860235e-02
2.973118e-04 1.503461e+00 4.862877e-02
3.014153e-04 1.504266e+00 4.865480e-02
3.055754e-04 1.505059e+00 4.868044e-02
3.097930e-04 1.505839e+00 4.870569e-02
3.140688e-04 1.506608e+00 4.873055e-02
3.184036e-04 1.507365e+00 4.875504e-02
3.227982e-04 1.508111e+00 4.877916e-02
3.272535e-04 1.508845e+00 4.880291e-02
3.317702e-04 1.509568e+00 4.882629e-02
3.363494e-04 1.510280e+00 4.884931e-02
3.409917e-04 1.510981e+00 4.887197e-02
3.456980e-04 1.511670e+00 4.889428e-02
3.504694e-04 1.512349e+00 4.891625e-02
3.553066e-04 1.513018e+00 4.893786e-02
3.602105e-04 1.513675e+00 4.895914e-02
3.651822e-04 1.514323e+00 4.898007e-02
3.702225e-04 1.514960e+00 4.900068e-02
3.753323e-04 1.515586e+00 4.902095e-02
3.805126e-04 1.516203e+00 4.904090e-02
3.857645e-04 1.516810e+00 4.906052e-02
3.910888e-04 1.517407e+00 4.907983e-02
3.964867e-04 1.517994e+00 4.909881e-02
4.019590e-04 1.518571e+00 4.911749e-02
4.075069e-04 1.519139e+00 4.913585e-02
4.131313e-04 1.519697e+00 4.915391e-02
4.188333e-04 1.520246e+00 4.917167e-02
4.246141e-04 1.520786e+00 4.918912e-02
4.304746e-04 1.521316e+00 4.920628e-02
4.364161e-04 1.521838e+00 4.922315e-02
4.424395e-04 1.522350e+00 4.923972e-02
4.485461e-04 1.522854e+00 4.925601e-02
4.547369e-04 1.523349e+00 4.927201e-02
4.610132e-04 1.523835e+00 4.928773e-02
4.673762e-04 1.524312e+00 4.930317e-02
4.738269e-04 1.524781e+00 4.931834e-02
4.803667e-04 1.525241e+00 4.933323e-02
4.869968e-04 1.525693e+00 4.934785e-02
4.937183e-04 1.526137e+00 4.936220e-02
5.005326e-04 1.526572e+00 4.937629e-02
5.074410e-04 1.527000e+00 4.939011e-02
5.144447e-04 1.527419e+00 4.940367e-02
5.215451e-04 1.527830e+00 4.941697e-02
5.287435e-04 1.528233e+00 4.943002e-02
5.360413e-04 1.528629e+00 4.944281e-02
5.434397e-04 1.529017e+00 4.945535e-02
5.509403e-04 1.529397e+00 4.946764e-02
5.585444e-04 1.529769e+00 4.947969e-02
5.662535e-04 1.530134e+00 4.949149e-02
5.740689e-04 1.530491e+00 4.950305e-02
5.819923e-04 1.530841e+00 4.951436e-02
5.900250e-04 1.531184e+00 4.952544e-02
5.981685e-04 1.531519e+00 4.953628e-02
6.064245e-04 1.531847e+00 4.954689e-02
6.147944e-04 1.532167e+00 4.955726e-02
6.232798e-04 1.532481e+00 4.956741e-02
6.318823e-04 1.532788e+00 4.957732e-02
6.406036e-04 1.533087e+00 4.958701e-02
6.494453e-04 1.533380e+00 4.959647e-02
6.584089e-04 1.533665e+00 4.960571e-02
6.674963e-04 1.533944e+00 4.961472e-02
6.767091e-04 1.534216e+00 4.962352e-02
