      r[a_0]     n[bound]   n[unbound]
4.688434e-04 2.681889e-01 1.861542e-01
4.749494e-04 2.682729e-01 1.862126e-01
4.811350e-04 2.683557e-01 1.862700e-01
4.874011e-04 2.684373e-01 1.863267e-01
4.937489e-04 2.685177e-01 1.863824e-01
5.001793e-04 2.685969e-01 1.864374e-01
5.066934e-04 2.686748e-01 1.864915e-01
5.132924e-04 2.687516e-01 1.865448e-01
5.199774e-04 2.688273e-01 1.865973e-01
5.267494e-04 2.689018e-01 1.866491e-01
5.336096e-04 2.689752e-01 1.867000e-01
5.405591e-04 2.690474e-01 1.867501e-01
5.475992e-04 2.691185e-01 1.867995e-01
5.547309e-04 2.691886e-01 1.868481e-01
5.619556e-04 2.692575e-01 1.868960e-01
5.692743e-04 2.693254e-01 1.869431e-01
5.766883e-04 2.693922e-01 1.869894e-01
5.841989e-04 2.694579e-01 1.870351e-01
5.918073e-04 2.695226e-01 1.870800e-01
5.995148e-04 2.695863e-01 1.871242e-01
6.073227e-04 2.696489e-01 1.871676e-01
6.152322e-04 2.697105e-01 1.872104e-01
6.232448e-04 2.697711e-01 1.872525e-01
6.313617e-04 2.698307e-01 1.872938e-01
6.395844e-04 2.698894e-01 1.873345e-01
6.479141e-04 2.699470e-01 1.873746e-01
6.563523e-04 2.700037e-01 1.874139e-01
6.649004e-04 2.700594e-01 1.874526e-01
6.735599e-04 2.701142e-01 1.874906e-01
6.823321e-04 2.701680e-01 1.875280e-01
6.912185e-04 2.702210e-01 1.875647e-01
7.002207e-04 2.702729e-01 1.876008e-01
7.093401e-04 2.703240e-01 1.876362e-01
7.185784e-04 2.703742e-01 1.876711e-01
7.279369e-04 2.704234e-01 1.877053e-01
7.374173e-04 2.704718e-01 1.877388e-01
7.470211e-04 2.705193e-01 1.877718e-01
7.567501e-04 2.705659e-01 1.878042e-01
7.666057e-04 2.706117e-01 1.878359e-01
7.765897e-04 2.706566e-01 1.878671e-01
7.867038e-04 2.707006e-01 1.878976e-01
7.969495e-04 2.707438e-01 1.879276e-01
8.073287e-04 2.707862e-01 1.879570e-01
8.178431e-04 2.708277e-01 1.879858e-01
8.284944e-04 2.708684e-01 1.880141e-01
8.392844e-04 2.709083e-01 1.880418e-01
8.502150e-04 2.709473e-01 1.880689e-01
8.612879e-04 2.709856e-01 1.880955e-01
8.725050e-04 2.710231e-01 1.881215e-01
8.838682e-04 2.710597e-01 1.881469e-01
8.953794e-04 2.710956e-01 1.881718e-01
9.070405e-04 2.711307e-01 1.881962e-01
9.188535e-04 2.711650e-01 1.882200e-01
9.308203e-04 2.711986e-01 1.882433e-01
9.429430e-04 2.712314e-01 1.882661e-01
9.552236e-04 2.712634e-01 1.882883e-01
9.676641e-04 2.712947e-01 1.883100e-01
9.802666e-04 2.713252e-01 1.883312e-01
9.930333e-04 2.713550e-01 1.883519e-01
1.005966e-03 2.713841e-01 1.883721e-01
1.019068e-03 2.714124e-01 1.883917e-01
1.032340e-03 2.714400e-01 1.884109e-01
1.045784e-03 2.714668e-01 1.884295e-01
1.059404e-03 2.714930e-01 1.884476e-01
1.073202e-03 2.715184e-01 1.884653e-01
1.087179e-03 2.715431e-01 1.884824e-01
1.101338e-03 2.715671e-01 1.884991e-01
1.115681e-03 2.715904e-01 1.885153e-01
1.130211e-03 2.716130e-01 1.885310e-01
1.144931e-03 2.716349e-01 1.885462e-01
1.159842e-03 2.716561e-01 1.885609e-01
1.174947e-03 2.716766e-01 1.885751e-01
1.190250e-03 2.716965e-01 1.885889e-01
1.205751e-03 2.717156e-01 1.886022e-01
1.221454e-03 2.717341e-01 1.886150e-01
1.237362e-03 2.717519e-01 1.886273e-01
1.253477e-03 2.717690e-01 1.886392e-01
1.269802e-03 2.717854e-01 1.886506e-01
1.286339e-03 2.718012e-01 1.886616e-01
1.303092e-03 2.718163e-01 1.886721e-01
1.320063e-03 2.718307e-01 1.886821e-01
1.337255e-03 2.718445e-01 1.886916e-01
1.354671e-03 2.718576e-01 1.887008e-01
1.372314e-03 2.718701e-01 1.887094e-01
1.390186e-03 2.718819e-01 1.887176e-01
1.408292e-03 2.718931e-01 1.887253e-01
1.426633e-03 2.719036e-01 1.887326e-01
1.445213e-03 2.719134e-01 1.887395e-01
1.464035e-03 2.719226e-01 1.887459e-01
1.483102e-03 2.719312e-01 1.887518e-01
1.502417e-03 2.719391e-01 1.887573e-01
1.521984e-03 2.719464e-01 1.887623e-01
1.541806e-03 2.719530e-01 1.887669e-01
1.561886e-03 2.719590e-01 1.887711e-01
1.582227e-03 2.719643e-01 1.887748e-01
1.602834e-03 2.719690e-01 1.887781e-01
1.623709e-03 2.719731e-01 1.887809e-01
1.644855e-03 2.719765e-01 1.887833e-01
1.666277e-03 2.719793e-01 1.887852e-01
1.687978e-03 2.719815e-01 1.887867e-01
1.709962e-03 2.719830e-01 1.887878e-01
1.732232e-03 2.719839e-01 1.887884e-01
1.754792e-03 2.719841e-01 1.887885e-01
1.777646e-03 2.719837e-01 1.887883e-01
1.800797e-03 2.719827e-01 1.887875e-01
1.824250e-03 2.719810e-01 1.887864e-01
1.848008e-03 2.719787e-01 1.887848e-01
1.872076e-03 2.719757e-01 1.887827e-01
1.896458e-03 2.719722e-01 1.887802e-01
1.921156e-03 2.719679e-01 1.887773e-01
1.946177e-03 2.719631e-01 1.887739e-01
1.971523e-03 2.719576e-01 1.887701e-01
1.997200e-03 2.719514e-01 1.887659e-01
2.023210e-03 2.719447e-01 1.887612e-01
2.049560e-03 2.719372e-01 1.887560e-01
2.076253e-03 2.719292e-01 1.887504e-01
2.103293e-03 2.719204e-01 1.887444e-01
2.130686e-03 2.719111e-01 1.887379e-01
2.158435e-03 2.719011e-01 1.887309e-01
2.186546e-03 2.718904e-01 1.887235e-01
2.215023e-03 2.718791e-01 1.887157e-01
2.243870e-03 2.718671e-01 1.887073e-01
2.273094e-03 2.718545e-01 1.886986e-01
2.302698e-03 2.718412e-01 1.886894e-01
2.332687e-03 2.718273e-01 1.886797e-01
2.363067e-03 2.718127e-01 1.886696e-01
2.393843e-03 2.717974e-01 1.886590e-01
2.425020e-03 2.717815e-01 1.886479e-01
2.456602e-03 2.717649e-01 1.886364e-01
2.488596e-03 2.717476e-01 1.886244e-01
2.521007e-03 2.717297e-01 1.886119e-01
2.553840e-03 2.717111e-01 1.885990e-01
2.587100e-03 2.716918e-01 1.885856e-01
2.620793e-03 2.716718e-01 1.885717e-01
2.654926e-03 2.716511e-01 1.885574e-01
2.689503e-03 2.716297e-01 1.885426e-01
2.724530e-03 2.716077e-01 1.885272e-01
2.760013e-03 2.715849e-01 1.885114e-01
2.795959e-03 2.715615e-01 1.884952e-01
2.832372e-03 2.715373e-01 1.884784e-01
2.869260e-03 2.715124e-01 1.884611e-01
2.906628e-03 2.714868e-01 1.884434e-01
2.944483e-03 2.714605e-01 1.884251e-01
2.982831e-03 2.714335e-01 1.884064e-01
3.021678e-03 2.714058e-01 1.883871e-01
3.061032e-03 2.713773e-01 1.883673e-01
3.100898e-03 2.713481e-01 1.883471e-01
3.141283e-03 2.713181e-01 1.883263e-01
3.182194e-03 2.712874e-01 1.883050e-01
3.223637e-03 2.712560e-01 1.882831e-01
3.265621e-03 2.712238e-01 1.882608e-01
3.308151e-03 2.711909e-01 1.882379e-01
3.351235e-03 2.711571e-01 1.882145e-01
3.394881e-03 2.711226e-01 1.881906e-01
3.439095e-03 2.710874e-01 1.881661e-01
3.483884e-03 2.710513e-01 1.881411e-01
3.529257e-03 2.710145e-01 1.881155e-01
3.575221e-03 2.709769e-01 1.880894e-01
3.621783e-03 2.709385e-01 1.880627e-01
3.668952e-03 2.708992e-01 1.880355e-01
3.716735e-03 2.708592e-01 1.880077e-01
3.765141e-03 2.708184e-01 1.879794e-01
3.814177e-03 2.707767e-01 1.879504e-01
3.863851e-03 2.707342e-01 1.879209e-01
3.914173e-03 2.706908e-01 1.878908e-01
3.965150e-03 2.706467e-01 1.878602e-01
4.016790e-03 2.706016e-01 1.878289e-01
4.069104e-03 2.705557e-01 1.877971e-01
4.122098e-03 2.705090e-01 1.877646e-01
4.175783e-03 2.704613e-01 1.877315e-01
4.230167e-03 2.704128e-01 1.876979e-01
4.285259e-03 2.703634e-01 1.876636e-01
4.341069e-03 2.703131e-01 1.876287e-01
4.397606e-03 2.702619e-01 1.875931e-01
4.454878e-03 2.702098e-01 1.875570e-01
4.512897e-03 2.701568e-01 1.875202e-01
4.571672e-03 2.701028e-01 1.874827e-01
4.631212e-03 2.700479e-01 1.874446e-01
4.691527e-03 2.699921e-01 1.874058e-01
4.752628e-03 2.699353e-01 1.873664e-01
4.814524e-03 2.698775e-01 1.873263e-01
4.877227e-03 2.698188e-01 1.872856e-01
4.940746e-03 2.697591e-01 1.872441e-01
5.005093e-03 2.696984e-01 1.872020e-01
5.070277e-03 2.696367e-01 1.871591e-01
5.136311e-03 2.695740e-01 1.871156e-01
5.203205e-03 2.695102e-01 1.870714e-01
5.270969e-03 2.694455e-01 1.870264e-01
5.339617e-03 2.693797e-01 1.869808e-01
5.409158e-03 2.693128e-01 1.869343e-01
5.479605e-03 2.692449e-01 1.868872e-01
5.550969e-03 2.691759e-01 1.868393e-01
5.623263e-03 2.691059e-01 1.867907e-01
5.696499e-03 2.690347e-01 1.867413e-01
5.770688e-03 2.689624e-01 1.866911e-01
5.845843e-03 2.688891e-01 1.866402e-01
5.921978e-03 2.688145e-01 1.865885e-01
5.999103e-03 2.687389e-01 1.865360e-01
6.077234e-03 2.686621e-01 1.864827e-01
6.156381e-03 2.685842e-01 1.864286e-01
6.236560e-03 2.685050e-01 1.863737e-01
6.317783e-03 2.684247e-01 1.863179e-01
6.400064e-03 2.683432e-01 1.862613e-01
6.483416e-03 2.682605e-01 1.862039e-01
6.567853e-03 2.681765e-01 1.861456e-01
6.653391e-03 2.680913e-01 1.860865e-01
6.740042e-03 2.680049e-01 1.860265e-01
6.827822e-03 2.679172e-01 1.859656e-01
6.916746e-03 2.678282e-01 1.859039e-01
7.006827e-03 2.677379e-01 1.858412e-01
7.098081e-03 2.676464e-01 1.857777e-01
7.190524e-03 2.675535e-01 1.857132e-01
7.284171e-03 2.674593e-01 1.856478e-01
7.379038e-03 2.673637e-01 1.855815e-01
7.475140e-03 2.672667e-01 1.855142e-01
