      r[a_0]     n[bound]   n[unbound]
1.895207e-04 1.832743e+00 4.125044e-01
1.919890e-04 1.834276e+00 4.128495e-01
1.944894e-04 1.835789e+00 4.131900e-01
1.970223e-04 1.837283e+00 4.135262e-01
1.995883e-04 1.838757e+00 4.138580e-01
2.021877e-04 1.840213e+00 4.141856e-01
2.048209e-04 1.841649e+00 4.145088e-01
2.074884e-04 1.843066e+00 4.148279e-01
2.101906e-04 1.844466e+00 4.151428e-01
2.129281e-04 1.845847e+00 4.154536e-01
2.157012e-04 1.847210e+00 4.157604e-01
2.185104e-04 1.848555e+00 4.160632e-01
2.213562e-04 1.849882e+00 4.163619e-01
2.242391e-04 1.851192e+00 4.166568e-01
2.271595e-04 1.852485e+00 4.169478e-01
2.301180e-04 1.853761e+00 4.172350e-01
2.331149e-04 1.855020e+00 4.175183e-01
2.361509e-04 1.856262e+00 4.177980e-01
2.392265e-04 1.857488e+00 4.180739e-01
2.423421e-04 1.858698e+00 4.183462e-01
2.454983e-04 1.859892e+00 4.186149e-01
2.486956e-04 1.861069e+00 4.188799e-01
2.519345e-04 1.862232e+00 4.191415e-01
2.552156e-04 1.863378e+00 4.193996e-01
2.585394e-04 1.864509e+00 4.196542e-01
2.619066e-04 1.865625e+00 4.199054e-01
2.653175e-04 1.866727e+00 4.201532e-01
2.687729e-04 1.867813e+00 4.203977e-01
2.722733e-04 1.868884e+00 4.206389e-01
2.758193e-04 1.869941e+00 4.208768e-01
2.794115e-04 1.870984e+00 4.211115e-01
2.830505e-04 1.872013e+00 4.213430e-01
2.867368e-04 1.873028e+00 4.215714e-01
2.904712e-04 1.874028e+00 4.217966e-01
2.942542e-04 1.875015e+00 4.220188e-01
2.980864e-04 1.875989e+00 4.222379e-01
3.019686e-04 1.876949e+00 4.224541e-01
3.059014e-04 1.877896e+00 4.226672e-01
3.098853e-04 1.878830e+00 4.228774e-01
3.139212e-04 1.879751e+00 4.230847e-01
3.180096e-04 1.880659e+00 4.232891e-01
3.221512e-04 1.881555e+00 4.234906e-01
3.263468e-04 1.882438e+00 4.236894e-01
3.305970e-04 1.883308e+00 4.238853e-01
3.349026e-04 1.884167e+00 4.240785e-01
3.392643e-04 1.885013e+00 4.242690e-01
3.436827e-04 1.885847e+00 4.244568e-01
3.481587e-04 1.886670e+00 4.246419e-01
3.526930e-04 1.887480e+00 4.248244e-01
3.572864e-04 1.888280e+00 4.250043e-01
3.619395e-04 1.889067e+00 4.251816e-01
3.666533e-04 1.889844e+00 4.253563e-01
3.714285e-04 1.890609e+00 4.255286e-01
3.762658e-04 1.891363e+00 4.256983e-01
3.811662e-04 1.892106e+00 4.258656e-01
3.861304e-04 1.892839e+00 4.260304e-01
3.911592e-04 1.893560e+00 4.261928e-01
3.962535e-04 1.894271e+00 4.263528e-01
4.014142e-04 1.894972e+00 4.265105e-01
4.066421e-04 1.895662e+00 4.266658e-01
4.119380e-04 1.896342e+00 4.268188e-01
4.173030e-04 1.897011e+00 4.269695e-01
4.227378e-04 1.897671e+00 4.271180e-01
4.282434e-04 1.898320e+00 4.272642e-01
4.338207e-04 1.898960e+00 4.274082e-01
4.394706e-04 1.899590e+00 4.275500e-01
4.451941e-04 1.900210e+00 4.276896e-01
4.509922e-04 1.900821e+00 4.278271e-01
4.568657e-04 1.901422e+00 4.279624e-01
4.628158e-04 1.902014e+00 4.280956e-01
4.688434e-04 1.902597e+00 4.282268e-01
4.749494e-04 1.903171e+00 4.283558e-01
4.811350e-04 1.903735e+00 4.284829e-01
4.874011e-04 1.904290e+00 4.286079e-01
4.937489e-04 1.904837e+00 4.287309e-01
5.001793e-04 1.905375e+00 4.288519e-01
5.066934e-04 1.905903e+00 4.289709e-01
5.132924e-04 1.906424e+00 4.290880e-01
5.199774e-04 1.906935e+00 4.292032e-01
5.267494e-04 1.907439e+00 4.293165e-01
5.336096e-04 1.907934e+00 4.294279e-01
5.405591e-04 1.908420e+00 4.295374e-01
5.475992e-04 1.908898e+00 4.296450e-01
5.547309e-04 1.909368e+00 4.297508e-01
5.619556e-04 1.909830e+00 4.298548e-01
5.692743e-04 1.910284e+00 4.299570e-01
5.766883e-04 1.910730e+00 4.300573e-01
5.841989e-04 1.911168e+00 4.301560e-01
5.918073e-04 1.911599e+00 4.302528e-01
5.995148e-04 1.912021e+00 4.303479e-01
6.073227e-04 1.912436e+00 4.304413e-01
6.152322e-04 1.912844e+00 4.305330e-01
6.232448e-04 1.913243e+00 4.306230e-01
6.313617e-04 1.913636e+00 4.307113e-01
6.395844e-04 1.914021e+00 4.307979e-01
6.479141e-04 1.914398e+00 4.308829e-01
6.563523e-04 1.914768e+00 4.309662e-01
6.649004e-04 1.915131e+00 4.310479e-01
6.735599e-04 1.915487e+00 4.311280e-01
6.823321e-04 1.915836e+00 4.312065e-01
6.912185e-04 1.916178e+00 4.312834e-01
7.002207e-04 1.916513e+00 4.313588e-01
7.093401e-04 1.916840e+00 4.314325e-01
7.185784e-04 1.917161e+00 4.315048e-01
7.279369e-04 1.917475e+00 4.315754e-01
7.374173e-04 1.917782e+00 4.316446e-01
7.470211e-04 1.918083e+00 4.317122e-01
7.567501e-04 1.918377e+00 4.317784e-01
7.666057e-04 1.918664e+00 4.318430e-01
7.765897e-04 1.918944e+00 4.319061e-01
7.867038e-04 1.919218e+00 4.319678e-01
7.969495e-04 1.919486e+00 4.320280e-01
8.073287e-04 1.919747e+00 4.320867e-01
8.178431e-04 1.920001e+00 4.321441e-01
8.284944e-04 1.920250e+00 4.321999e-01
8.392844e-04 1.920492e+00 4.322544e-01
8.502150e-04 1.920727e+00 4.323074e-01
8.612879e-04 1.920956e+00 4.323590e-01
8.725050e-04 1.921180e+00 4.324092e-01
8.838682e-04 1.921396e+00 4.324580e-01
8.953794e-04 1.921607e+00 4.325054e-01
9.070405e-04 1.921812e+00 4.325515e-01
9.188535e-04 1.922010e+00 4.325962e-01
9.308203e-04 1.922203e+00 4.326395e-01
9.429430e-04 1.922389e+00 4.326814e-01
9.552236e-04 1.922569e+00 4.327220e-01
9.676641e-04 1.922744e+00 4.327613e-01
9.802666e-04 1.922912e+00 4.327992e-01
9.930333e-04 1.923075e+00 4.328358e-01
1.005966e-03 1.923232e+00 4.328711e-01
1.019068e-03 1.923383e+00 4.329050e-01
1.032340e-03 1.923528e+00 4.329377e-01
1.045784e-03 1.923667e+00 4.329690e-01
1.059404e-03 1.923800e+00 4.329990e-01
1.073202e-03 1.923928e+00 4.330278e-01
1.087179e-03 1.924050e+00 4.330552e-01
1.101338e-03 1.924166e+00 4.330814e-01
1.115681e-03 1.924276e+00 4.331062e-01
1.130211e-03 1.924381e+00 4.331298e-01
1.144931e-03 1.924480e+00 4.331521e-01
1.159842e-03 1.924574e+00 4.331731e-01
1.174947e-03 1.924661e+00 4.331929e-01
1.190250e-03 1.924744e+00 4.332114e-01
1.205751e-03 1.924820e+00 4.332286e-01
1.221454e-03 1.924891e+00 4.332446e-01
1.237362e-03 1.924956e+00 4.332593e-01
1.253477e-03 1.925016e+00 4.332727e-01
1.269802e-03 1.925070e+00 4.332849e-01
1.286339e-03 1.925119e+00 4.332959e-01
1.303092e-03 1.925162e+00 4.333056e-01
1.320063e-03 1.925200e+00 4.333140e-01
1.337255e-03 1.925232e+00 4.333212e-01
1.354671e-03 1.925258e+00 4.333272e-01
1.372314e-03 1.925279e+00 4.333319e-01
1.390186e-03 1.925294e+00 4.333353e-01
1.408292e-03 1.925304e+00 4.333375e-01
1.426633e-03 1.925309e+00 4.333385e-01
1.445213e-03 1.925307e+00 4.333383e-01
1.464035e-03 1.925301e+00 4.333367e-01
1.483102e-03 1.925288e+00 4.333340e-01
1.502417e-03 1.925271e+00 4.333300e-01
1.521984e-03 1.925247e+00 4.333247e-01
1.541806e-03 1.925219e+00 4.333183e-01
1.561886e-03 1.925184e+00 4.333105e-01
1.582227e-03 1.925144e+00 4.333015e-01
1.602834e-03 1.925099e+00 4.332913e-01
1.623709e-03 1.925048e+00 4.332798e-01
1.644855e-03 1.924991e+00 4.332671e-01
1.666277e-03 1.924929e+00 4.332531e-01
1.687978e-03 1.924861e+00 4.332379e-01
1.709962e-03 1.924788e+00 4.332214e-01
1.732232e-03 1.924709e+00 4.332036e-01
1.754792e-03 1.924625e+00 4.331846e-01
1.777646e-03 1.924534e+00 4.331643e-01
1.800797e-03 1.924439e+00 4.331427e-01
1.824250e-03 1.924337e+00 4.331198e-01
1.848008e-03 1.924230e+00 4.330957e-01
1.872076e-03 1.924117e+00 4.330703e-01
1.896458e-03 1.923999e+00 4.330436e-01
1.921156e-03 1.923874e+00 4.330156e-01
1.946177e-03 1.923744e+00 4.329864e-01
1.971523e-03 1.923608e+00 4.329558e-01
1.997200e-03 1.923467e+00 4.329239e-01
2.023210e-03 1.923319e+00 4.328907e-01
2.049560e-03 1.923166e+00 4.328562e-01
2.076253e-03 1.923007e+00 4.328204e-01
2.103293e-03 1.922842e+00 4.327832e-01
2.130686e-03 1.922671e+00 4.327448e-01
2.158435e-03 1.922494e+00 4.327049e-01
2.186546e-03 1.922311e+00 4.326638e-01
2.215023e-03 1.922122e+00 4.326213e-01
2.243870e-03 1.921927e+00 4.325774e-01
2.273094e-03 1.921726e+00 4.325322e-01
2.302698e-03 1.921519e+00 4.324856e-01
2.332687e-03 1.921306e+00 4.324376e-01
2.363067e-03 1.921087e+00 4.323882e-01
2.393843e-03 1.920861e+00 4.323374e-01
2.425020e-03 1.920629e+00 4.322853e-01
2.456602e-03 1.920391e+00 4.322317e-01
2.488596e-03 1.920147e+00 4.321767e-01
2.521007e-03 1.919896e+00 4.321203e-01
2.553840e-03 1.919639e+00 4.320624e-01
2.587100e-03 1.919376e+00 4.320031e-01
2.620793e-03 1.919106e+00 4.319423e-01
2.654926e-03 1.918829e+00 4.318801e-01
2.689503e-03 1.918546e+00 4.318164e-01
2.724530e-03 1.918257e+00 4.317512e-01
2.760013e-03 1.917960e+00 4.316845e-01
2.795959e-03 1.917657e+00 4.316163e-01
2.832372e-03 1.917348e+00 4.315466e-01
2.869260e-03 1.917031e+00 4.314754e-01
2.906628e-03 1.916708e+00 4.314026e-01
2.944483e-03 1.916378e+00 4.313283e-01
2.982831e-03 1.916041e+00 4.312524e-01
3.021678e-03 1.915696e+00 4.311749e-01
3.061032e-03 1.915345e+00 4.310959e-01
3.100898e-03 1.914987e+00 4.310152e-01
3.141283e-03 1.914621e+00 4.309330e-01
3.182194e-03 1.914249e+00 4.308491e-01
3.223637e-03 1.913869e+00 4.307635e-01
3.265621e-03 1.913482e+00 4.306764e-01
3.308151e-03 1.913087e+00 4.305875e-01
3.351235e-03 1.912685e+00 4.304970e-01
3.394881e-03 1.912275e+00 4.304048e-01
3.439095e-03 1.911858e+00 4.303109e-01
3.483884e-03 1.911433e+00 4.302153e-01
