# r/r_s,   beta v_ii^eff   (both unitless)
1.704999999999999627e+00, 4.576824163538698587e-01
1.714999999999999636e+00, 4.549071409131283938e-01
1.724999999999999645e+00, 4.521641827273956693e-01
1.734999999999999654e+00, 4.494529793392291750e-01
1.744999999999999662e+00, 4.467729882107030481e-01
1.754999999999999671e+00, 4.441236723069941217e-01
1.764999999999999680e+00, 4.415045134751236500e-01
1.774999999999999689e+00, 4.389149986825837679e-01
1.784999999999999698e+00, 4.363546328065642799e-01
1.794999999999999707e+00, 4.338229254907329246e-01
1.804999999999999716e+00, 4.313194033769956470e-01
1.814999999999999725e+00, 4.288435975460180294e-01
1.824999999999999512e+00, 4.263950552215019507e-01
1.834999999999999520e+00, 4.239733277623108920e-01
1.844999999999999529e+00, 4.215779818673416335e-01
1.854999999999999538e+00, 4.192085880892199579e-01
1.864999999999999547e+00, 4.168647315660714558e-01
1.874999999999999556e+00, 4.145460010287025931e-01
1.884999999999999565e+00, 4.122519990839326742e-01
1.894999999999999574e+00, 4.099823316889740221e-01
1.904999999999999583e+00, 4.077366180094676440e-01
1.914999999999999591e+00, 4.055144803364347239e-01
1.924999999999999600e+00, 4.033155535407452752e-01
1.934999999999999609e+00, 4.011394754095669590e-01
1.944999999999999618e+00, 3.989858957176693477e-01
1.954999999999999627e+00, 3.968544669617259935e-01
1.964999999999999636e+00, 3.947448530676451739e-01
1.974999999999999645e+00, 3.926567205024065754e-01
1.984999999999999654e+00, 3.905897466354626424e-01
1.994999999999999662e+00, 3.885436112090290273e-01
2.004999999999999893e+00, 3.865180043705458424e-01
2.014999999999999680e+00, 3.845126184834857241e-01
2.024999999999999467e+00, 3.825271558468710809e-01
2.034999999999999698e+00, 3.805613208297350947e-01
2.044999999999999485e+00, 3.786148272927691294e-01
2.054999999999999716e+00, 3.766873910305640893e-01
2.064999999999999503e+00, 3.747787369096028387e-01
2.074999999999999734e+00, 3.728885916033335968e-01
2.084999999999999520e+00, 3.710166904599169757e-01
2.094999999999999751e+00, 3.691627705160538397e-01
2.104999999999999538e+00, 3.673265771071384522e-01
2.114999999999999769e+00, 3.655078571465666948e-01
2.124999999999999556e+00, 3.637063654902488730e-01
2.134999999999999787e+00, 3.619218584688777551e-01
2.144999999999999574e+00, 3.601541000180933927e-01
2.154999999999999361e+00, 3.584028554518903786e-01
2.164999999999999591e+00, 3.566678973691176369e-01
2.174999999999999378e+00, 3.549489996568598871e-01
2.184999999999999609e+00, 3.532459431833727126e-01
2.194999999999999396e+00, 3.515585100208949987e-01
2.204999999999999627e+00, 3.498864889345744134e-01
2.214999999999999414e+00, 3.482296698147439029e-01
2.224999999999999645e+00, 3.465878489708878463e-01
2.234999999999999432e+00, 3.449608237639490427e-01
2.244999999999999662e+00, 3.433483977139138998e-01
2.254999999999999449e+00, 3.417503753232218333e-01
2.264999999999999680e+00, 3.401665670060967650e-01
2.274999999999999467e+00, 3.385967840946101926e-01
2.284999999999999698e+00, 3.370408435974589501e-01
2.294999999999999485e+00, 3.354985633806832346e-01
2.304999999999999716e+00, 3.339697667631983946e-01
2.314999999999999503e+00, 3.324542778645737107e-01
2.324999999999999734e+00, 3.309519260442652100e-01
2.334999999999999520e+00, 3.294625414092576254e-01
2.344999999999999751e+00, 3.279859591035811928e-01
2.354999999999999538e+00, 3.265220149689954110e-01
2.364999999999999325e+00, 3.250705496910464842e-01
2.374999999999999556e+00, 3.236314046063138994e-01
2.384999999999999343e+00, 3.222044257109545340e-01
2.394999999999999574e+00, 3.207894596083610828e-01
2.404999999999999361e+00, 3.193863573858464200e-01
2.414999999999999591e+00, 3.179949706968709933e-01
2.424999999999999378e+00, 3.166151555112426408e-01
2.434999999999999609e+00, 3.152467683263585063e-01
2.444999999999999396e+00, 3.138896697960402160e-01
2.454999999999999627e+00, 3.125437210655073184e-01
2.464999999999999414e+00, 3.112087872837179803e-01
2.474999999999999645e+00, 3.098847340570503039e-01
2.484999999999999432e+00, 3.085714308497872760e-01
2.494999999999999662e+00, 3.072687475517281719e-01
2.504999999999999449e+00, 3.059765577712343365e-01
2.514999999999999680e+00, 3.046947355122169299e-01
2.524999999999999467e+00, 3.034231583639575014e-01
2.534999999999999698e+00, 3.021617042831403754e-01
2.544999999999999485e+00, 3.009102546844591997e-01
2.554999999999999716e+00, 2.996686913235638294e-01
