 r[σ]         g_ii        
 9.67562e+00  1.00008e+00
 9.71255e+00  1.00008e+00
 9.74948e+00  1.00007e+00
 9.78641e+00  1.00007e+00
 9.82334e+00  1.00007e+00
 9.86027e+00  1.00007e+00
 9.89720e+00  1.00007e+00
 9.93413e+00  1.00007e+00
 9.97106e+00  1.00007e+00
 1.00080e+01  1.00007e+00
 1.00449e+01  1.00007e+00
 1.00819e+01  1.00006e+00
 1.01188e+01  1.00006e+00
 1.01557e+01  1.00006e+00
 1.01926e+01  1.00006e+00
 1.02296e+01  1.00006e+00
 1.02665e+01  1.00006e+00
 1.03034e+01  1.00006e+00
 1.03404e+01  1.00006e+00
 1.03773e+01  1.00005e+00
 1.04142e+01  1.00005e+00
 1.04512e+01  1.00005e+00
 1.04881e+01  1.00005e+00
 1.05250e+01  1.00005e+00
 1.05619e+01  1.00005e+00
 1.05989e+01  1.00005e+00
 1.06358e+01  1.00005e+00
 1.06727e+01  1.00005e+00
 1.07097e+01  1.00005e+00
 1.07466e+01  1.00005e+00
 1.07835e+01  1.00005e+00
 1.08204e+01  1.00005e+00
 1.08574e+01  1.00004e+00
 1.08943e+01  1.00004e+00
 1.09312e+01  1.00004e+00
 1.09682e+01  1.00004e+00
 1.10051e+01  1.00004e+00
 1.10420e+01  1.00004e+00
 1.10790e+01  1.00004e+00
 1.11159e+01  1.00004e+00
 1.11528e+01  1.00004e+00
 1.11897e+01  1.00004e+00
 1.12267e+01  1.00004e+00
 1.12636e+01  1.00004e+00
 1.13005e+01  1.00004e+00
 1.13375e+01  1.00004e+00
 1.13744e+01  1.00003e+00
 1.14113e+01  1.00003e+00
 1.14483e+01  1.00003e+00
 1.14852e+01  1.00003e+00
 1.15221e+01  1.00003e+00
 1.15590e+01  1.00003e+00
 1.15960e+01  1.00003e+00
 1.16329e+01  1.00003e+00
 1.16698e+01  1.00003e+00
 1.17068e+01  1.00003e+00
 1.17437e+01  1.00003e+00
 1.17806e+01  1.00003e+00
 1.18176e+01  1.00003e+00
 1.18545e+01  1.00003e+00
 1.18914e+01  1.00003e+00
 1.19283e+01  1.00003e+00
 1.19653e+01  1.00003e+00
 1.20022e+01  1.00003e+00
 1.20391e+01  1.00003e+00
 1.20761e+01  1.00003e+00
 1.21130e+01  1.00002e+00
 1.21499e+01  1.00002e+00
 1.21869e+01  1.00002e+00
 1.22238e+01  1.00002e+00
 1.22607e+01  1.00002e+00
 1.22976e+01  1.00002e+00
 1.23346e+01  1.00002e+00
 1.23715e+01  1.00002e+00
 1.24084e+01  1.00002e+00
 1.24454e+01  1.00002e+00
 1.24823e+01  1.00002e+00
 1.25192e+01  1.00002e+00
 1.25562e+01  1.00002e+00
 1.25931e+01  1.00002e+00
 1.26300e+01  1.00002e+00
 1.26669e+01  1.00002e+00
 1.27039e+01  1.00002e+00
 1.27408e+01  1.00002e+00
 1.27777e+01  1.00002e+00
 1.28147e+01  1.00002e+00
 1.28516e+01  1.00002e+00
 1.28885e+01  1.00002e+00
 1.29255e+01  1.00002e+00
 1.29624e+01  1.00002e+00
 1.29993e+01  1.00002e+00
 1.30362e+01  1.00002e+00
 1.30732e+01  1.00002e+00
 1.31101e+01  1.00002e+00
 1.31470e+01  1.00002e+00
 1.31840e+01  1.00002e+00
 1.32209e+01  1.00002e+00
 1.32578e+01  1.00001e+00
 1.32948e+01  1.00001e+00
 1.33317e+01  1.00001e+00
 1.33686e+01  1.00001e+00
 1.34055e+01  1.00001e+00
 1.34425e+01  1.00001e+00
 1.34794e+01  1.00001e+00
 1.35163e+01  1.00001e+00
 1.35533e+01  1.00001e+00
 1.35902e+01  1.00001e+00
 1.36271e+01  1.00001e+00
 1.36640e+01  1.00001e+00
 1.37010e+01  1.00001e+00
 1.37379e+01  1.00001e+00
 1.37748e+01  1.00001e+00
 1.38118e+01  1.00001e+00
 1.38487e+01  1.00001e+00
 1.38856e+01  1.00001e+00
 1.39226e+01  1.00001e+00
 1.39595e+01  1.00001e+00
 1.39964e+01  1.00001e+00
 1.40333e+01  1.00001e+00
 1.40703e+01  1.00001e+00
 1.41072e+01  1.00001e+00
 1.41441e+01  1.00001e+00
 1.41811e+01  1.00001e+00
 1.42180e+01  1.00001e+00
 1.42549e+01  1.00001e+00
 1.42919e+01  1.00001e+00
 1.43288e+01  1.00001e+00
 1.43657e+01  1.00001e+00
 1.44026e+01  1.00001e+00
 1.44396e+01  1.00001e+00
 1.44765e+01  1.00001e+00
 1.45134e+01  1.00001e+00
 1.45504e+01  1.00001e+00
 1.45873e+01  1.00001e+00
 1.46242e+01  1.00001e+00
 1.46612e+01  1.00001e+00
 1.46981e+01  1.00001e+00
 1.47350e+01  1.00001e+00
 1.47719e+01  1.00001e+00
 1.48089e+01  1.00001e+00
 1.48458e+01  1.00001e+00
 1.48827e+01  1.00001e+00
 1.49197e+01  1.00001e+00
 1.49566e+01  1.00001e+00
 1.49935e+01  1.00001e+00
 1.50305e+01  1.00001e+00
 1.50674e+01  1.00001e+00
 1.51043e+01  1.00001e+00
 1.51412e+01  1.00001e+00
 1.51782e+01  1.00001e+00
 1.52151e+01  1.00001e+00
 1.52520e+01  1.00001e+00
 1.52890e+01  1.00001e+00
 1.53259e+01  1.00001e+00
 1.53628e+01  1.00001e+00
 1.53998e+01  1.00001e+00
 1.54367e+01  1.00001e+00
 1.54736e+01  1.00001e+00
 1.55105e+01  1.00001e+00
 1.55475e+01  1.00001e+00
 1.55844e+01  1.00001e+00
 1.56213e+01  1.00001e+00
 1.56583e+01  1.00001e+00
 1.56952e+01  1.00001e+00
 1.57321e+01  1.00001e+00
 1.57691e+01  1.00001e+00
 1.58060e+01  1.00001e+00
 1.58429e+01  1.00001e+00
 1.58798e+01  1.00000e+00
 1.59168e+01  1.00000e+00
 1.59537e+01  1.00000e+00
 1.59906e+01  1.00000e+00
 1.60276e+01  1.00000e+00
 1.60645e+01  1.00000e+00
 1.61014e+01  1.00000e+00
 1.61383e+01  1.00000e+00
 1.61753e+01  1.00000e+00
 1.62122e+01  1.00000e+00
 1.62491e+01  1.00000e+00
 1.62861e+01  1.00000e+00
 1.63230e+01  1.00000e+00
 1.63599e+01  1.00000e+00
 1.63969e+01  1.00000e+00
 1.64338e+01  1.00000e+00
 1.64707e+01  1.00000e+00
 1.65076e+01  1.00000e+00
 1.65446e+01  1.00000e+00
 1.65815e+01  1.00000e+00
 1.66184e+01  1.00000e+00
 1.66554e+01  1.00000e+00
 1.66923e+01  1.00000e+00
 1.67292e+01  1.00000e+00
 1.67662e+01  1.00000e+00
 1.68031e+01  1.00000e+00
 1.68400e+01  1.00000e+00
 1.68769e+01  1.00000e+00
 1.69139e+01  1.00000e+00
 1.69508e+01  1.00000e+00
 1.69877e+01  1.00000e+00
 1.70247e+01  1.00000e+00
 1.70616e+01  1.00000e+00
 1.70985e+01  1.00000e+00
 1.71355e+01  1.00000e+00
 1.71724e+01  1.00000e+00
 1.72093e+01  1.00000e+00
 1.72462e+01  1.00000e+00
 1.72832e+01  1.00000e+00
 1.73201e+01  1.00000e+00
 1.73570e+01  1.00000e+00
 1.73940e+01  1.00000e+00
 1.74309e+01  1.00000e+00
 1.74678e+01  1.00000e+00
 1.75048e+01  1.00000e+00
 1.75417e+01  1.00000e+00
 1.75786e+01  1.00000e+00
 1.76155e+01  1.00000e+00
 1.76525e+01  1.00000e+00
 1.76894e+01  1.00000e+00
 1.77263e+01  1.00000e+00
 1.77633e+01  1.00000e+00
 1.78002e+01  1.00000e+00
 1.78371e+01  1.00000e+00
 1.78741e+01  1.00000e+00
 1.79110e+01  1.00000e+00
 1.79479e+01  1.00000e+00
 1.79848e+01  1.00000e+00
 1.80218e+01  1.00000e+00
 1.80587e+01  1.00000e+00
 1.80956e+01  1.00000e+00
 1.81326e+01  1.00000e+00
 1.81695e+01  1.00000e+00
 1.82064e+01  1.00000e+00
 1.82434e+01  1.00000e+00
 1.82803e+01  1.00000e+00
 1.83172e+01  1.00000e+00
 1.83541e+01  1.00000e+00
 1.83911e+01  1.00000e+00
 1.84280e+01  1.00000e+00
 1.84649e+01  1.00000e+00
 1.85019e+01  1.00000e+00
 1.85388e+01  1.00000e+00
 1.85757e+01  1.00000e+00
 1.86127e+01  1.00000e+00
 1.86496e+01  1.00000e+00
 1.86865e+01  1.00000e+00
 1.87234e+01  1.00000e+00
 1.87604e+01  1.00000e+00
 1.87973e+01  1.00000e+00
 1.88342e+01  1.00000e+00
 1.88712e+01  1.00000e+00
 1.89081e+01  1.00000e+00
 1.89450e+01  1.00000e+00
 1.89819e+01  1.00000e+00
 1.90189e+01  1.00000e+00
 1.90558e+01  1.00000e+00
 1.90927e+01  1.00000e+00
 1.91297e+01  1.00000e+00
 1.91666e+01  1.00000e+00
 1.92035e+01  1.00000e+00
 1.92405e+01  1.00000e+00
 1.92774e+01  1.00000e+00
 1.93143e+01  1.00000e+00
 1.93512e+01  1.00000e+00
 1.93882e+01  1.00000e+00
 1.94251e+01  1.00000e+00
 1.94620e+01  1.00000e+00
 1.94990e+01  1.00000e+00
 1.95359e+01  1.00000e+00
 1.95728e+01  1.00000e+00
 1.96098e+01  1.00000e+00
 1.96467e+01  1.00000e+00
 1.96836e+01  1.00000e+00
 1.97205e+01  1.00000e+00
 1.97575e+01  1.00000e+00
 1.97944e+01  1.00000e+00
 1.98313e+01  1.00000e+00
 1.98683e+01  1.00000e+00
 1.99052e+01  1.00000e+00
 1.99421e+01  1.00000e+00
 1.99791e+01  1.00000e+00
 2.00160e+01  1.00000e+00
 2.00529e+01  1.00000e+00
 2.00898e+01  1.00000e+00
 2.01268e+01  1.00000e+00
 2.01637e+01  1.00000e+00
 2.02006e+01  1.00000e+00
 2.02376e+01  1.00000e+00
 2.02745e+01  1.00000e+00
 2.03114e+01  1.00000e+00
 2.03484e+01  1.00000e+00
 2.03853e+01  1.00000e+00
 2.04222e+01  1.00000e+00
 2.04591e+01  1.00000e+00
 2.04961e+01  1.00000e+00
 2.05330e+01  1.00000e+00
 2.05699e+01  1.00000e+00
 2.06069e+01  1.00000e+00
 2.06438e+01  1.00000e+00
 2.06807e+01  1.00000e+00
 2.07177e+01  1.00000e+00
 2.07546e+01  1.00000e+00
 2.07915e+01  1.00000e+00
 2.08284e+01  1.00000e+00
 2.08654e+01  1.00000e+00
 2.09023e+01  1.00000e+00
 2.09392e+01  1.00000e+00
 2.09762e+01  1.00000e+00
 2.10131e+01  1.00000e+00
 2.10500e+01  1.00000e+00
 2.10870e+01  1.00000e+00
 2.11239e+01  1.00000e+00
 2.11608e+01  1.00000e+00
 2.11977e+01  1.00000e+00
 2.12347e+01  1.00000e+00
 2.12716e+01  1.00000e+00
 2.13085e+01  1.00000e+00
 2.13455e+01  1.00000e+00
 2.13824e+01  1.00000e+00
 2.14193e+01  1.00000e+00
 2.14562e+01  1.00000e+00
 2.14932e+01  1.00000e+00
 2.15301e+01  1.00000e+00
 2.15670e+01  1.00000e+00
 2.16040e+01  1.00000e+00
 2.16409e+01  1.00000e+00
 2.16778e+01  1.00000e+00
 2.17148e+01  1.00000e+00
 2.17517e+01  1.00000e+00
 2.17886e+01  1.00000e+00
 2.18255e+01  1.00000e+00
 2.18625e+01  1.00000e+00
 2.18994e+01  1.00000e+00
 2.19363e+01  1.00000e+00
 2.19733e+01  1.00000e+00
 2.20102e+01  1.00000e+00
 2.20471e+01  1.00000e+00
 2.20841e+01  1.00000e+00
 2.21210e+01  1.00000e+00
 2.21579e+01  1.00000e+00
 2.21948e+01  1.00000e+00
 2.22318e+01  1.00000e+00
 2.22687e+01  1.00000e+00
 2.23056e+01  1.00000e+00
 2.23426e+01  1.00000e+00
 2.23795e+01  1.00000e+00
 2.24164e+01  1.00000e+00
 2.24534e+01  1.00000e+00
 2.24903e+01  1.00000e+00
 2.25272e+01  1.00000e+00
 2.25641e+01  1.00000e+00
 2.26011e+01  1.00000e+00
 2.26380e+01  1.00000e+00
 2.26749e+01  1.00000e+00
 2.27119e+01  1.00000e+00
 2.27488e+01  1.00000e+00
 2.27857e+01  1.00000e+00
 2.28227e+01  1.00000e+00
 2.28596e+01  1.00000e+00
 2.28965e+01  1.00000e+00
 2.29334e+01  1.00000e+00
 2.29704e+01  1.00000e+00
 2.30073e+01  1.00000e+00
 2.30442e+01  1.00000e+00
 2.30812e+01  1.00000e+00
 2.31181e+01  1.00000e+00
 2.31550e+01  1.00000e+00
 2.31920e+01  1.00000e+00
 2.32289e+01  1.00000e+00
 2.32658e+01  1.00000e+00
 2.33027e+01  1.00000e+00
 2.33397e+01  1.00000e+00
 2.33766e+01  1.00000e+00
 2.34135e+01  1.00000e+00
 2.34505e+01  1.00000e+00
 2.34874e+01  1.00000e+00
 2.35243e+01  1.00000e+00
 2.35613e+01  1.00000e+00
 2.35982e+01  1.00000e+00
 2.36351e+01  1.00000e+00
 2.36720e+01  1.00000e+00
 2.37090e+01  1.00000e+00
 2.37459e+01  1.00000e+00
 2.37828e+01  1.00000e+00
 2.38198e+01  1.00000e+00
 2.38567e+01  1.00000e+00
 2.38936e+01  1.00000e+00
 2.39306e+01  1.00000e+00
 2.39675e+01  1.00000e+00
 2.40044e+01  1.00000e+00
 2.40413e+01  1.00000e+00
 2.40783e+01  1.00000e+00
 2.41152e+01  1.00000e+00
 2.41521e+01  1.00000e+00
 2.41891e+01  1.00000e+00
 2.42260e+01  1.00000e+00
 2.42629e+01  1.00000e+00
 2.42998e+01  1.00000e+00
 2.43368e+01  1.00000e+00
 2.43737e+01  1.00000e+00
 2.44106e+01  1.00000e+00
 2.44476e+01  1.00000e+00
 2.44845e+01  1.00000e+00
 2.45214e+01  1.00000e+00
 2.45584e+01  1.00000e+00
 2.45953e+01  1.00000e+00
 2.46322e+01  1.00000e+00
 2.46691e+01  1.00000e+00
 2.47061e+01  1.00000e+00
 2.47430e+01  1.00000e+00
 2.47799e+01  1.00000e+00
 2.48169e+01  1.00000e+00
 2.48538e+01  1.00000e+00
 2.48907e+01  1.00000e+00
 2.49277e+01  1.00000e+00
 2.49646e+01  1.00000e+00
 2.50015e+01  1.00000e+00
 2.50384e+01  1.00000e+00
 2.50754e+01  1.00000e+00
 2.51123e+01  1.00000e+00
 2.51492e+01  1.00000e+00
 2.51862e+01  1.00000e+00
 2.52231e+01  1.00000e+00
 2.52600e+01  1.00000e+00
 2.52970e+01  1.00000e+00
 2.53339e+01  1.00000e+00
 2.53708e+01  1.00000e+00
 2.54077e+01  1.00000e+00
 2.54447e+01  1.00000e+00
 2.54816e+01  1.00000e+00
 2.55185e+01  1.00000e+00
 2.55555e+01  1.00000e+00
 2.55924e+01  1.00000e+00
 2.56293e+01  1.00000e+00
 2.56663e+01  1.00000e+00
 2.57032e+01  1.00000e+00
 2.57401e+01  1.00000e+00
 2.57770e+01  1.00000e+00
 2.58140e+01  1.00000e+00
 2.58509e+01  1.00000e+00
 2.58878e+01  1.00000e+00
 2.59248e+01  1.00000e+00
 2.59617e+01  1.00000e+00
 2.59986e+01  1.00000e+00
 2.60356e+01  1.00000e+00
 2.60725e+01  1.00000e+00
 2.61094e+01  1.00000e+00
 2.61463e+01  1.00000e+00
 2.61833e+01  1.00000e+00
 2.62202e+01  1.00000e+00
 2.62571e+01  1.00000e+00
 2.62941e+01  1.00000e+00
 2.63310e+01  1.00000e+00
 2.63679e+01  1.00000e+00
 2.64049e+01  1.00000e+00
 2.64418e+01  1.00000e+00
 2.64787e+01  1.00000e+00
 2.65156e+01  1.00000e+00
 2.65526e+01  1.00000e+00
 2.65895e+01  1.00000e+00
 2.66264e+01  1.00000e+00
 2.66634e+01  1.00000e+00
 2.67003e+01  1.00000e+00
 2.67372e+01  1.00000e+00
 2.67741e+01  1.00000e+00
 2.68111e+01  1.00000e+00
 2.68480e+01  1.00000e+00
 2.68849e+01  1.00000e+00
 2.69219e+01  1.00000e+00
 2.69588e+01  1.00000e+00
 2.69957e+01  1.00000e+00
 2.70327e+01  1.00000e+00
 2.70696e+01  1.00000e+00
 2.71065e+01  1.00000e+00
 2.71434e+01  1.00000e+00
 2.71804e+01  1.00000e+00
 2.72173e+01  1.00000e+00
 2.72542e+01  1.00000e+00
 2.72912e+01  1.00000e+00
 2.73281e+01  1.00000e+00
 2.73650e+01  1.00000e+00
 2.74020e+01  1.00000e+00
 2.74389e+01  1.00000e+00
 2.74758e+01  1.00000e+00
 2.75127e+01  1.00000e+00
 2.75497e+01  1.00000e+00
 2.75866e+01  1.00000e+00
 2.76235e+01  1.00000e+00
 2.76605e+01  1.00000e+00
 2.76974e+01  1.00000e+00
 2.77343e+01  1.00000e+00
 2.77713e+01  1.00000e+00
 2.78082e+01  1.00000e+00
 2.78451e+01  1.00000e+00
 2.78820e+01  1.00000e+00
 2.79190e+01  1.00000e+00
 2.79559e+01  1.00000e+00
 2.79928e+01  1.00000e+00
 2.80298e+01  1.00000e+00
 2.80667e+01  1.00000e+00
 2.81036e+01  1.00000e+00
 2.81406e+01  1.00000e+00
 2.81775e+01  1.00000e+00
 2.82144e+01  1.00000e+00
 2.82513e+01  1.00000e+00
 2.82883e+01  1.00000e+00
 2.83252e+01  1.00000e+00
 2.83621e+01  1.00000e+00
 2.83991e+01  1.00000e+00
 2.84360e+01  1.00000e+00
 2.84729e+01  1.00000e+00
 2.85099e+01  1.00000e+00
 2.85468e+01  1.00000e+00
 2.85837e+01  1.00000e+00
 2.86206e+01  1.00000e+00
 2.86576e+01  1.00000e+00
 2.86945e+01  1.00000e+00
 2.87314e+01  1.00000e+00
 2.87684e+01  1.00000e+00
 2.88053e+01  1.00000e+00
 2.88422e+01  1.00000e+00
 2.88792e+01  1.00000e+00
 2.89161e+01  1.00000e+00
 2.89530e+01  1.00000e+00
 2.89899e+01  1.00000e+00
 2.90269e+01  1.00000e+00
 2.90638e+01  1.00000e+00
 2.91007e+01  1.00000e+00
 2.91377e+01  1.00000e+00
 2.91746e+01  1.00000e+00
 2.92115e+01  1.00000e+00
 2.92485e+01  1.00000e+00
 2.92854e+01  1.00000e+00
 2.93223e+01  1.00000e+00
 2.93592e+01  1.00000e+00
 2.93962e+01  1.00000e+00
 2.94331e+01  1.00000e+00
 2.94700e+01  1.00000e+00
 2.95070e+01  1.00000e+00
 2.95439e+01  1.00000e+00
 2.95808e+01  1.00000e+00
 2.96177e+01  1.00000e+00
 2.96547e+01  1.00000e+00
 2.96916e+01  1.00000e+00
 2.97285e+01  1.00000e+00
 2.97655e+01  1.00000e+00
 2.98024e+01  1.00000e+00
 2.98393e+01  1.00000e+00
 2.98763e+01  1.00000e+00
 2.99132e+01  1.00000e+00
 2.99501e+01  1.00000e+00
 2.99870e+01  1.00000e+00
 3.00240e+01  1.00000e+00
 3.00609e+01  1.00000e+00
 3.00978e+01  1.00000e+00
 3.01348e+01  1.00000e+00
 3.01717e+01  1.00000e+00
 3.02086e+01  1.00000e+00
 3.02456e+01  1.00000e+00
 3.02825e+01  1.00000e+00
 3.03194e+01  1.00000e+00
 3.03563e+01  1.00000e+00
