 r[σ]         g_ii         c_ii        
 9.72000e+00  1.00042e+00  2.83529e-06
 9.74000e+00  1.00050e+00  2.79693e-06
 9.76000e+00  1.00057e+00  2.75937e-06
 9.78000e+00  1.00062e+00  2.72258e-06
 9.80000e+00  1.00066e+00  2.68655e-06
 9.82000e+00  1.00069e+00  2.65128e-06
 9.84000e+00  1.00070e+00  2.61675e-06
 9.86000e+00  1.00070e+00  2.58296e-06
 9.88000e+00  1.00068e+00  2.54989e-06
 9.90000e+00  1.00065e+00  2.51755e-06
 9.92000e+00  1.00060e+00  2.48591e-06
 9.94000e+00  1.00055e+00  2.45498e-06
 9.96000e+00  1.00048e+00  2.42473e-06
 9.98000e+00  1.00041e+00  2.39518e-06
 1.00000e+01  1.00033e+00  2.36629e-06
 1.00200e+01  1.00025e+00  2.33807e-06
 1.00400e+01  1.00016e+00  2.31050e-06
 1.00600e+01  1.00007e+00  2.28358e-06
 1.00800e+01  9.99988e-01  2.25729e-06
 1.01000e+01  9.99904e-01  2.23162e-06
 1.01200e+01  9.99824e-01  2.20655e-06
 1.01400e+01  9.99750e-01  2.18208e-06
 1.01600e+01  9.99683e-01  2.15818e-06
 1.01800e+01  9.99624e-01  2.13486e-06
 1.02000e+01  9.99575e-01  2.11209e-06
 1.02200e+01  9.99535e-01  2.08985e-06
 1.02400e+01  9.99506e-01  2.06814e-06
 1.02600e+01  9.99488e-01  2.04694e-06
 1.02800e+01  9.99480e-01  2.02623e-06
 1.03000e+01  9.99484e-01  2.00601e-06
 1.03200e+01  9.99497e-01  1.98625e-06
 1.03400e+01  9.99521e-01  1.96695e-06
 1.03600e+01  9.99554e-01  1.94809e-06
 1.03800e+01  9.99594e-01  1.92965e-06
 1.04000e+01  9.99642e-01  1.91164e-06
 1.04200e+01  9.99696e-01  1.89403e-06
 1.04400e+01  9.99755e-01  1.87682e-06
 1.04600e+01  9.99817e-01  1.85999e-06
 1.04800e+01  9.99881e-01  1.84354e-06
 1.05000e+01  9.99946e-01  1.82747e-06
 1.05200e+01  1.00001e+00  1.81176e-06
 1.05400e+01  1.00007e+00  1.79640e-06
 1.05600e+01  1.00013e+00  1.78139e-06
 1.05800e+01  1.00019e+00  1.76673e-06
 1.06000e+01  1.00024e+00  1.75242e-06
 1.06200e+01  1.00028e+00  1.73843e-06
 1.06400e+01  1.00032e+00  1.72478e-06
 1.06600e+01  1.00035e+00  1.71146e-06
 1.06800e+01  1.00037e+00  1.69847e-06
 1.07000e+01  1.00038e+00  1.68580e-06
 1.07200e+01  1.00039e+00  1.67344e-06
 1.07400e+01  1.00038e+00  1.66140e-06
 1.07600e+01  1.00037e+00  1.64967e-06
 1.07800e+01  1.00036e+00  1.63824e-06
 1.08000e+01  1.00033e+00  1.62711e-06
 1.08200e+01  1.00030e+00  1.61628e-06
 1.08400e+01  1.00027e+00  1.60573e-06
 1.08600e+01  1.00023e+00  1.59546e-06
 1.08800e+01  1.00018e+00  1.58547e-06
 1.09000e+01  1.00014e+00  1.57574e-06
 1.09200e+01  1.00009e+00  1.56627e-06
 1.09400e+01  1.00004e+00  1.55704e-06
 1.09600e+01  9.99991e-01  1.54805e-06
 1.09800e+01  9.99945e-01  1.53928e-06
 1.10000e+01  9.99901e-01  1.53073e-06
 1.10200e+01  9.99860e-01  1.52238e-06
 1.10400e+01  9.99823e-01  1.51423e-06
 1.10600e+01  9.99791e-01  1.50625e-06
 1.10800e+01  9.99763e-01  1.49844e-06
 1.11000e+01  9.99742e-01  1.49079e-06
