      r[a_0]     n(bound)   n(unbound)
1.866951e-04 3.012368e+01 1.337336e+00
1.890444e-04 3.014830e+01 1.338429e+00
1.914234e-04 3.017262e+01 1.339508e+00
1.938322e-04 3.019663e+01 1.340574e+00
1.962714e-04 3.022034e+01 1.341627e+00
1.987412e-04 3.024374e+01 1.342666e+00
2.012422e-04 3.026685e+01 1.343692e+00
2.037746e-04 3.028967e+01 1.344705e+00
2.063388e-04 3.031220e+01 1.345705e+00
2.089354e-04 3.033443e+01 1.346692e+00
2.115646e-04 3.035639e+01 1.347667e+00
2.142269e-04 3.037806e+01 1.348629e+00
2.169227e-04 3.039946e+01 1.349579e+00
2.196525e-04 3.042058e+01 1.350517e+00
2.224165e-04 3.044143e+01 1.351442e+00
2.252154e-04 3.046201e+01 1.352356e+00
2.280495e-04 3.048232e+01 1.353258e+00
2.309192e-04 3.050237e+01 1.354148e+00
2.338251e-04 3.052216e+01 1.355026e+00
2.367675e-04 3.054170e+01 1.355894e+00
2.397470e-04 3.056098e+01 1.356750e+00
2.427639e-04 3.058000e+01 1.357594e+00
2.458189e-04 3.059878e+01 1.358428e+00
2.489122e-04 3.061731e+01 1.359251e+00
2.520445e-04 3.063560e+01 1.360063e+00
2.552162e-04 3.065365e+01 1.360864e+00
2.584278e-04 3.067146e+01 1.361654e+00
2.616798e-04 3.068903e+01 1.362434e+00
2.649728e-04 3.070637e+01 1.363204e+00
2.683072e-04 3.072348e+01 1.363964e+00
2.716835e-04 3.074036e+01 1.364713e+00
2.751024e-04 3.075701e+01 1.365453e+00
2.785642e-04 3.077344e+01 1.366182e+00
2.820696e-04 3.078965e+01 1.366902e+00
2.856192e-04 3.080564e+01 1.367612e+00
2.892134e-04 3.082142e+01 1.368312e+00
2.928528e-04 3.083698e+01 1.369003e+00
2.965380e-04 3.085233e+01 1.369684e+00
3.002696e-04 3.086747e+01 1.370356e+00
3.040482e-04 3.088240e+01 1.371019e+00
3.078743e-04 3.089712e+01 1.371673e+00
3.117486e-04 3.091165e+01 1.372318e+00
3.156716e-04 3.092597e+01 1.372953e+00
3.196439e-04 3.094009e+01 1.373580e+00
3.236663e-04 3.095402e+01 1.374199e+00
3.277393e-04 3.096775e+01 1.374808e+00
3.318635e-04 3.098129e+01 1.375409e+00
3.360397e-04 3.099463e+01 1.376002e+00
3.402683e-04 3.100779e+01 1.376586e+00
3.445502e-04 3.102076e+01 1.377162e+00
3.488860e-04 3.103355e+01 1.377730e+00
3.532764e-04 3.104615e+01 1.378289e+00
3.577220e-04 3.105858e+01 1.378841e+00
3.622235e-04 3.107082e+01 1.379384e+00
