      r[a_0]     n(bound)   n(unbound)
9.645859e-05 7.080987e+03 2.972874e-09
9.772565e-05 7.092943e+03 2.977906e-09
9.900935e-05 7.104744e+03 2.982873e-09
1.003099e-04 7.116390e+03 2.987775e-09
1.016276e-04 7.127884e+03 2.992614e-09
1.029625e-04 7.139226e+03 2.997391e-09
1.043150e-04 7.150419e+03 3.002105e-09
1.056853e-04 7.161463e+03 3.006759e-09
1.070735e-04 7.172361e+03 3.011351e-09
1.084800e-04 7.183114e+03 3.015883e-09
1.099050e-04 7.193723e+03 3.020357e-09
1.113487e-04 7.204190e+03 3.024771e-09
1.128113e-04 7.214517e+03 3.029128e-09
1.142932e-04 7.224704e+03 3.033427e-09
1.157945e-04 7.234753e+03 3.037669e-09
1.173156e-04 7.244666e+03 3.041856e-09
1.188566e-04 7.254443e+03 3.045987e-09
1.204179e-04 7.264087e+03 3.050064e-09
1.219997e-04 7.273599e+03 3.054086e-09
1.236022e-04 7.282980e+03 3.058055e-09
1.252258e-04 7.292231e+03 3.061971e-09
1.268708e-04 7.301353e+03 3.065835e-09
1.285373e-04 7.310349e+03 3.069648e-09
1.302258e-04 7.319218e+03 3.073409e-09
1.319364e-04 7.327963e+03 3.077121e-09
1.336695e-04 7.336585e+03 3.080782e-09
1.354253e-04 7.345085e+03 3.084395e-09
1.372042e-04 7.353464e+03 3.087960e-09
1.390065e-04 7.361724e+03 3.091476e-09
1.408325e-04 7.369864e+03 3.094946e-09
1.426824e-04 7.377888e+03 3.098369e-09
1.445567e-04 7.385796e+03 3.101747e-09
1.464555e-04 7.393588e+03 3.105079e-09
1.483793e-04 7.401267e+03 3.108367e-09
1.503284e-04 7.408833e+03 3.111610e-09
1.523031e-04 7.416288e+03 3.114811e-09
1.543037e-04 7.423632e+03 3.117969e-09
1.563306e-04 7.430866e+03 3.121085e-09
1.583841e-04 7.437992e+03 3.124160e-09
1.604646e-04 7.445011e+03 3.127194e-09
1.625725e-04 7.451924e+03 3.130188e-09
1.647080e-04 7.458731e+03 3.133143e-09
1.668716e-04 7.465434e+03 3.136060e-09
1.690635e-04 7.472033e+03 3.138938e-09
1.712843e-04 7.478530e+03 3.141779e-09
1.735343e-04 7.484926e+03 3.144584e-09
1.758138e-04 7.491222e+03 3.147354e-09
1.781232e-04 7.497418e+03 3.150088e-09
1.804630e-04 7.503515e+03 3.152787e-09
1.828335e-04 7.509515e+03 3.155454e-09
1.852352e-04 7.515418e+03 3.158088e-09
1.876684e-04 7.521225e+03 3.160689e-09
1.901336e-04 7.526937e+03 3.163260e-09
1.926311e-04 7.532555e+03 3.165800e-09
1.951615e-04 7.538080e+03 3.168311e-09
1.977251e-04 7.543512e+03 3.170793e-09
2.003224e-04 7.548853e+03 3.173248e-09
2.029538e-04 7.554103e+03 3.175676e-09
2.056197e-04 7.559262e+03 3.178078e-09
2.083207e-04 7.564333e+03 3.180455e-09
2.110571e-04 7.569314e+03 3.182808e-09
2.138295e-04 7.574208e+03 3.185139e-09
2.166384e-04 7.579015e+03 3.187448e-09
2.194841e-04 7.583736e+03 3.189736e-09
2.223672e-04 7.588371e+03 3.192004e-09
2.252881e-04 7.592921e+03 3.194254e-09
2.282475e-04 7.597387e+03 3.196487e-09
2.312457e-04 7.601769e+03 3.198704e-09
2.342833e-04 7.606069e+03 3.200907e-09
2.373608e-04 7.610286e+03 3.203096e-09
2.404787e-04 7.614422e+03 3.205273e-09
2.436376e-04 7.618477e+03 3.207440e-09
2.468379e-04 7.622451e+03 3.209598e-09
2.500803e-04 7.626346e+03 3.211749e-09
2.533653e-04 7.630162e+03 3.213894e-09
2.566935e-04 7.633899e+03 3.216036e-09
2.600654e-04 7.637558e+03 3.218175e-09
2.634815e-04 7.641140e+03 3.220314e-09
2.669425e-04 7.644645e+03 3.222455e-09
2.704490e-04 7.648074e+03 3.224600e-09
2.740016e-04 7.651427e+03 3.226750e-09
2.776008e-04 7.654704e+03 3.228909e-09
2.812473e-04 7.657907e+03 3.231078e-09
2.849417e-04 7.661036e+03 3.233260e-09
2.886847e-04 7.664091e+03 3.235458e-09
2.924768e-04 7.667072e+03 3.237673e-09
2.963187e-04 7.669981e+03 3.239910e-09
3.002111e-04 7.672817e+03 3.242171e-09
3.041546e-04 7.675581e+03 3.244458e-09
3.081499e-04 7.678274e+03 3.246776e-09
3.121977e-04 7.680895e+03 3.249128e-09
3.162986e-04 7.683446e+03 3.251517e-09
3.204534e-04 7.685926e+03 3.253947e-09
3.246628e-04 7.688337e+03 3.256422e-09
3.289275e-04 7.690678e+03 3.258946e-09
3.332483e-04 7.692949e+03 3.261523e-09
3.376257e-04 7.695152e+03 3.264158e-09
3.420607e-04 7.697287e+03 3.266856e-09
3.465540e-04 7.699353e+03 3.269622e-09
3.511062e-04 7.701351e+03 3.272460e-09
3.557183e-04 7.703282e+03 3.275377e-09
3.603909e-04 7.705145e+03 3.278379e-09
3.651249e-04 7.706942e+03 3.281472e-09
3.699211e-04 7.708671e+03 3.284661e-09
3.747803e-04 7.710335e+03 3.287954e-09
3.797033e-04 7.711932e+03 3.291358e-09
3.846910e-04 7.713463e+03 3.294881e-09
3.897443e-04 7.714929e+03 3.298531e-09
3.948639e-04 7.716329e+03 3.302315e-09
4.000507e-04 7.717664e+03 3.306242e-09
4.053057e-04 7.718934e+03 3.310322e-09
4.106297e-04 7.720139e+03 3.314565e-09
4.160236e-04 7.721280e+03 3.318981e-09
4.214884e-04 7.722356e+03 3.323580e-09
4.270250e-04 7.723367e+03 3.328373e-09
