      r[a_0]     n(bound)   n(unbound) n(tightbound)
4.165033e-05 1.007600e+03 1.054732e+01 9.446185e+02
4.219989e-05 1.012066e+03 1.059407e+01 9.488052e+02
4.275669e-05 1.016483e+03 1.064030e+01 9.529462e+02
4.332084e-05 1.020852e+03 1.068603e+01 9.570417e+02
4.389244e-05 1.025172e+03 1.073126e+01 9.610922e+02
4.447158e-05 1.029445e+03 1.077599e+01 9.650979e+02
4.505836e-05 1.033671e+03 1.082022e+01 9.690592e+02
4.565288e-05 1.037849e+03 1.086396e+01 9.729765e+02
4.625525e-05 1.041981e+03 1.090721e+01 9.768501e+02
4.686557e-05 1.046067e+03 1.094998e+01 9.806805e+02
4.748393e-05 1.050107e+03 1.099226e+01 9.844679e+02
4.811046e-05 1.054101e+03 1.103408e+01 9.882127e+02
4.874525e-05 1.058051e+03 1.107542e+01 9.919153e+02
4.938842e-05 1.061955e+03 1.111630e+01 9.955761e+02
5.004008e-05 1.065816e+03 1.115671e+01 9.991953e+02
5.070033e-05 1.069633e+03 1.119666e+01 1.002773e+03
5.136930e-05 1.073406e+03 1.123616e+01 1.006311e+03
5.204709e-05 1.077136e+03 1.127520e+01 1.009808e+03
5.273382e-05 1.080823e+03 1.131380e+01 1.013265e+03
5.342962e-05 1.084468e+03 1.135195e+01 1.016682e+03
5.413460e-05 1.088071e+03 1.138967e+01 1.020060e+03
5.484888e-05 1.091633e+03 1.142695e+01 1.023398e+03
5.557258e-05 1.095153e+03 1.146380e+01 1.026699e+03
5.630583e-05 1.098633e+03 1.150022e+01 1.029961e+03
5.704876e-05 1.102072e+03 1.153622e+01 1.033185e+03
5.780149e-05 1.105470e+03 1.157180e+01 1.036371e+03
5.856415e-05 1.108830e+03 1.160696e+01 1.039520e+03
5.933688e-05 1.112150e+03 1.164171e+01 1.042633e+03
6.011980e-05 1.115430e+03 1.167606e+01 1.045709e+03
6.091305e-05 1.118673e+03 1.171000e+01 1.048748e+03
6.171676e-05 1.121877e+03 1.174354e+01 1.051752e+03
6.253109e-05 1.125043e+03 1.177668e+01 1.054720e+03
6.335615e-05 1.128172e+03 1.180943e+01 1.057654e+03
6.419211e-05 1.131264e+03 1.184180e+01 1.060552e+03
6.503909e-05 1.134319e+03 1.187378e+01 1.063416e+03
6.589725e-05 1.137337e+03 1.190537e+01 1.066246e+03
6.676673e-05 1.140320e+03 1.193659e+01 1.069042e+03
6.764768e-05 1.143267e+03 1.196744e+01 1.071805e+03
6.854026e-05 1.146178e+03 1.199792e+01 1.074534e+03
6.944461e-05 1.149055e+03 1.202803e+01 1.077231e+03
7.036090e-05 1.151896e+03 1.205777e+01 1.079895e+03
7.128928e-05 1.154704e+03 1.208716e+01 1.082527e+03
7.222990e-05 1.157478e+03 1.211620e+01 1.085127e+03
7.318294e-05 1.160218e+03 1.214488e+01 1.087696e+03
7.414855e-05 1.162925e+03 1.217321e+01 1.090234e+03
7.512691e-05 1.165598e+03 1.220120e+01 1.092741e+03
7.611817e-05 1.168240e+03 1.222885e+01 1.095217e+03
7.712251e-05 1.170849e+03 1.225616e+01 1.097663e+03
7.814010e-05 1.173426e+03 1.228314e+01 1.100079e+03
7.917112e-05 1.175971e+03 1.230978e+01 1.102465e+03
8.021575e-05 1.178486e+03 1.233610e+01 1.104822e+03
8.127415e-05 1.180969e+03 1.236210e+01 1.107150e+03
8.234652e-05 1.183422e+03 1.238777e+01 1.109450e+03
8.343304e-05 1.185844e+03 1.241313e+01 1.111721e+03
8.453390e-05 1.188236e+03 1.243817e+01 1.113963e+03
8.564928e-05 1.190599e+03 1.246290e+01 1.116178e+03
8.677938e-05 1.192932e+03 1.248733e+01 1.118366e+03
8.792439e-05 1.195237e+03 1.251145e+01 1.120526e+03
8.908451e-05 1.197512e+03 1.253527e+01 1.122659e+03
9.025994e-05 1.199759e+03 1.255879e+01 1.124766e+03
9.145087e-05 1.201978e+03 1.258202e+01 1.126846e+03
9.265752e-05 1.204169e+03 1.260495e+01 1.128900e+03
9.388009e-05 1.206332e+03 1.262760e+01 1.130929e+03
9.511879e-05 1.208469e+03 1.264996e+01 1.132931e+03
9.637384e-05 1.210578e+03 1.267204e+01 1.134909e+03
9.764544e-05 1.212660e+03 1.269384e+01 1.136861e+03
9.893382e-05 1.214716e+03 1.271536e+01 1.138788e+03
1.002392e-04 1.216746e+03 1.273661e+01 1.140692e+03
1.015618e-04 1.218751e+03 1.275759e+01 1.142570e+03
1.029019e-04 1.220729e+03 1.277830e+01 1.144425e+03
1.042596e-04 1.222682e+03 1.279874e+01 1.146256e+03
1.056353e-04 1.224610e+03 1.281893e+01 1.148064e+03
1.070291e-04 1.226514e+03 1.283885e+01 1.149848e+03
1.084413e-04 1.228393e+03 1.285852e+01 1.151610e+03
1.098721e-04 1.230248e+03 1.287793e+01 1.153349e+03
1.113218e-04 1.232078e+03 1.289710e+01 1.155065e+03
1.127906e-04 1.233885e+03 1.291601e+01 1.156759e+03
1.142788e-04 1.235669e+03 1.293468e+01 1.158431e+03
1.157867e-04 1.237429e+03 1.295311e+01 1.160081e+03
1.173144e-04 1.239166e+03 1.297129e+01 1.161710e+03
1.188624e-04 1.240881e+03 1.298924e+01 1.163318e+03
