      r[a_0]     n(bound)   n(unbound)
1.003099e-04 7.116390e+03 7.896866e-03
1.016276e-04 7.127884e+03 7.909620e-03
1.029625e-04 7.139226e+03 7.922206e-03
1.043150e-04 7.150419e+03 7.934626e-03
1.056853e-04 7.161463e+03 7.946882e-03
1.070735e-04 7.172361e+03 7.958975e-03
1.084800e-04 7.183114e+03 7.970906e-03
1.099050e-04 7.193723e+03 7.982679e-03
1.113487e-04 7.204190e+03 7.994294e-03
1.128113e-04 7.214517e+03 8.005752e-03
1.142932e-04 7.224704e+03 8.017056e-03
1.157945e-04 7.234753e+03 8.028207e-03
1.173156e-04 7.244666e+03 8.039207e-03
1.188566e-04 7.254443e+03 8.050056e-03
1.204179e-04 7.264087e+03 8.060758e-03
1.219997e-04 7.273599e+03 8.071312e-03
1.236022e-04 7.282980e+03 8.081721e-03
1.252258e-04 7.292231e+03 8.091986e-03
1.268708e-04 7.301353e+03 8.102109e-03
1.285373e-04 7.310349e+03 8.112090e-03
1.302258e-04 7.319218e+03 8.121932e-03
1.319364e-04 7.327963e+03 8.131636e-03
1.336695e-04 7.336585e+03 8.141203e-03
1.354253e-04 7.345085e+03 8.150635e-03
1.372042e-04 7.353464e+03 8.159932e-03
1.390065e-04 7.361724e+03 8.169097e-03
1.408325e-04 7.369864e+03 8.178130e-03
1.426824e-04 7.377888e+03 8.187033e-03
1.445567e-04 7.385796e+03 8.195808e-03
1.464555e-04 7.393588e+03 8.204454e-03
1.483793e-04 7.401267e+03 8.212975e-03
1.503284e-04 7.408833e+03 8.221370e-03
1.523031e-04 7.416288e+03 8.229641e-03
1.543037e-04 7.423632e+03 8.237790e-03
1.563306e-04 7.430866e+03 8.245817e-03
1.583841e-04 7.437992e+03 8.253724e-03
1.604646e-04 7.445011e+03 8.261512e-03
1.625725e-04 7.451923e+03 8.269182e-03
1.647080e-04 7.458731e+03 8.276735e-03
1.668716e-04 7.465434e+03 8.284172e-03
1.690635e-04 7.472033e+03 8.291495e-03
1.712843e-04 7.478530e+03 8.298704e-03
1.735343e-04 7.484926e+03 8.305800e-03
1.758138e-04 7.491222e+03 8.312786e-03
1.781232e-04 7.497418e+03 8.319660e-03
1.804630e-04 7.503515e+03 8.326426e-03
1.828335e-04 7.509515e+03 8.333082e-03
1.852352e-04 7.515418e+03 8.339632e-03
1.876684e-04 7.521225e+03 8.346075e-03
1.901336e-04 7.526937e+03 8.352413e-03
1.926311e-04 7.532555e+03 8.358646e-03
1.951615e-04 7.538080e+03 8.364775e-03
1.977251e-04 7.543512e+03 8.370802e-03
2.003224e-04 7.548853e+03 8.376727e-03
2.029538e-04 7.554103e+03 8.382552e-03
2.056197e-04 7.559262e+03 8.388276e-03
2.083207e-04 7.564332e+03 8.393901e-03
2.110571e-04 7.569314e+03 8.399428e-03
2.138295e-04 7.574208e+03 8.404858e-03
2.166384e-04 7.579015e+03 8.410190e-03
2.194841e-04 7.583736e+03 8.415427e-03
2.223672e-04 7.588371e+03 8.420569e-03
2.252881e-04 7.592921e+03 8.425617e-03
2.282475e-04 7.597387e+03 8.430571e-03
2.312457e-04 7.601769e+03 8.435433e-03
2.342833e-04 7.606069e+03 8.440203e-03
2.373608e-04 7.610286e+03 8.444881e-03
2.404787e-04 7.614422e+03 8.449469e-03
2.436376e-04 7.618477e+03 8.453967e-03
2.468379e-04 7.622451e+03 8.458375e-03
2.500803e-04 7.626346e+03 8.462696e-03
2.533653e-04 7.630162e+03 8.466928e-03
2.566935e-04 7.633899e+03 8.471073e-03
2.600654e-04 7.637558e+03 8.475132e-03
2.634815e-04 7.641140e+03 8.479104e-03
2.669425e-04 7.644645e+03 8.482992e-03
2.704490e-04 7.648074e+03 8.486795e-03
2.740016e-04 7.651427e+03 8.490513e-03
2.776008e-04 7.654704e+03 8.494148e-03
2.812473e-04 7.657907e+03 8.497700e-03
2.849417e-04 7.661036e+03 8.501169e-03
2.886847e-04 7.664091e+03 8.504557e-03
2.924768e-04 7.667072e+03 8.507863e-03
2.963187e-04 7.669981e+03 8.511088e-03
3.002111e-04 7.672817e+03 8.514233e-03
3.041546e-04 7.675581e+03 8.517297e-03
3.081499e-04 7.678274e+03 8.520283e-03
3.121977e-04 7.680895e+03 8.523189e-03
3.162986e-04 7.683446e+03 8.526017e-03
3.204534e-04 7.685926e+03 8.528766e-03
3.246628e-04 7.688337e+03 8.531438e-03
3.289275e-04 7.690678e+03 8.534033e-03
3.332483e-04 7.692949e+03 8.536550e-03
3.376257e-04 7.695152e+03 8.538992e-03
3.420607e-04 7.697287e+03 8.541357e-03
3.465540e-04 7.699353e+03 8.543646e-03
3.511062e-04 7.701351e+03 8.545860e-03
3.557183e-04 7.703282e+03 8.547999e-03
3.603909e-04 7.705145e+03 8.550063e-03
3.651249e-04 7.706942e+03 8.552053e-03
3.699211e-04 7.708671e+03 8.553968e-03
3.747803e-04 7.710335e+03 8.555810e-03
3.797033e-04 7.711932e+03 8.557579e-03
3.846910e-04 7.713463e+03 8.559274e-03
3.897443e-04 7.714929e+03 8.560896e-03
3.948639e-04 7.716329e+03 8.562445e-03
4.000507e-04 7.717664e+03 8.563922e-03
4.053057e-04 7.718934e+03 8.565326e-03
4.106297e-04 7.720139e+03 8.566659e-03
4.160236e-04 7.721280e+03 8.567920e-03
4.214884e-04 7.722356e+03 8.569109e-03
4.270250e-04 7.723367e+03 8.570226e-03
4.326343e-04 7.724315e+03 8.571272e-03
4.383173e-04 7.725199e+03 8.572248e-03
4.440749e-04 7.726019e+03 8.573152e-03
4.499082e-04 7.726775e+03 8.573985e-03
4.558181e-04 7.727467e+03 8.574748e-03
4.618056e-04 7.728096e+03 8.575440e-03
4.678718e-04 7.728662e+03 8.576061e-03
4.740177e-04 7.729165e+03 8.576613e-03
4.802442e-04 7.729604e+03 8.577094e-03
4.865526e-04 7.729980e+03 8.577504e-03
4.929439e-04 7.730293e+03 8.577845e-03
4.994191e-04 7.730543e+03 8.578115e-03
5.059793e-04 7.730730e+03 8.578316e-03
5.126258e-04 7.730854e+03 8.578446e-03
5.193595e-04 7.730916e+03 8.578506e-03
5.261817e-04 7.730914e+03 8.578497e-03
5.330935e-04 7.730849e+03 8.578417e-03
5.400961e-04 7.730722e+03 8.578267e-03
5.471907e-04 7.730532e+03 8.578048e-03
5.543785e-04 7.730278e+03 8.577758e-03
5.616606e-04 7.729962e+03 8.577398e-03
5.690385e-04 7.729583e+03 8.576968e-03
5.765133e-04 7.729141e+03 8.576468e-03
5.840862e-04 7.728635e+03 8.575898e-03
5.917586e-04 7.728067e+03 8.575257e-03
5.995319e-04 7.727435e+03 8.574545e-03
6.074072e-04 7.726739e+03 8.573763e-03
