      r[a_0]     n[bound]   n[unbound]
2.159505e-05 6.106015e+01 4.658740e+00
2.173470e-05 6.136971e+01 4.682359e+00
2.187525e-05 6.167805e+01 4.705885e+00
2.201671e-05 6.198518e+01 4.729318e+00
2.215909e-05 6.229108e+01 4.752657e+00
2.230239e-05 6.259577e+01 4.775904e+00
2.244661e-05 6.289923e+01 4.799058e+00
2.259177e-05 6.320147e+01 4.822118e+00
2.273786e-05 6.350248e+01 4.845084e+00
2.288490e-05 6.380227e+01 4.867957e+00
2.303289e-05 6.410082e+01 4.890736e+00
2.318184e-05 6.439815e+01 4.913421e+00
2.333175e-05 6.469425e+01 4.936013e+00
2.348263e-05 6.498911e+01 4.958510e+00
2.363449e-05 6.528274e+01 4.980914e+00
2.378732e-05 6.557514e+01 5.003223e+00
2.394115e-05 6.586631e+01 5.025438e+00
2.409597e-05 6.615624e+01 5.047560e+00
2.425179e-05 6.644494e+01 5.069587e+00
2.440862e-05 6.673241e+01 5.091520e+00
2.456647e-05 6.701864e+01 5.113358e+00
2.472533e-05 6.730364e+01 5.135103e+00
2.488523e-05 6.758740e+01 5.156753e+00
2.504615e-05 6.786993e+01 5.178310e+00
2.520812e-05 6.815122e+01 5.199772e+00
2.537113e-05 6.843129e+01 5.221140e+00
2.553520e-05 6.871012e+01 5.242414e+00
2.570033e-05 6.898772e+01 5.263594e+00
2.586653e-05 6.926409e+01 5.284680e+00
2.603380e-05 6.953922e+01 5.305673e+00
2.620215e-05 6.981313e+01 5.326571e+00
2.637160e-05 7.008581e+01 5.347376e+00
2.654213e-05 7.035726e+01 5.368087e+00
2.671377e-05 7.062749e+01 5.388705e+00
2.688653e-05 7.089649e+01 5.409229e+00
2.706039e-05 7.116426e+01 5.429659e+00
2.723539e-05 7.143082e+01 5.449997e+00
2.741151e-05 7.169615e+01 5.470241e+00
2.758877e-05 7.196026e+01 5.490392e+00
2.776718e-05 7.222316e+01 5.510451e+00
2.794675e-05 7.248484e+01 5.530416e+00
2.812747e-05 7.274530e+01 5.550289e+00
