     x         r      Vcoul     Vexc       V        rV      dNedr_b    dNedr_s   dNedr_f   dNedr      ne_b      ne_s      ne_f     ne
9.2345e-04 1.2884e-03 7.748e+02 2.655e-01 7.751e+02 9.987e-01 0.000e+00 8.782e-06 5.241e-05 8.782e-06 0.000e+00 4.210e-01 2.512e+00 4.210e-01 
9.3016e-04 1.2978e-03 7.692e+02 2.655e-01 7.695e+02 9.987e-01 0.000e+00 8.910e-06 5.298e-05 8.910e-06 0.000e+00 4.210e-01 2.503e+00 4.210e-01 
9.3692e-04 1.3072e-03 7.637e+02 2.655e-01 7.639e+02 9.986e-01 0.000e+00 9.040e-06 5.356e-05 9.040e-06 0.000e+00 4.210e-01 2.494e+00 4.210e-01 
9.4373e-04 1.3167e-03 7.582e+02 2.655e-01 7.584e+02 9.986e-01 0.000e+00 9.171e-06 5.415e-05 9.171e-06 0.000e+00 4.210e-01 2.485e+00 4.210e-01 
9.5058e-04 1.3263e-03 7.527e+02 2.655e-01 7.529e+02 9.986e-01 0.000e+00 9.305e-06 5.474e-05 9.305e-06 0.000e+00 4.210e-01 2.476e+00 4.210e-01 
9.5749e-04 1.3359e-03 7.472e+02 2.655e-01 7.475e+02 9.986e-01 0.000e+00 9.441e-06 5.534e-05 9.441e-06 0.000e+00 4.209e-01 2.467e+00 4.209e-01 
9.6445e-04 1.3456e-03 7.418e+02 2.655e-01 7.421e+02 9.986e-01 0.000e+00 9.578e-06 5.594e-05 9.578e-06 0.000e+00 4.209e-01 2.458e+00 4.209e-01 
9.7146e-04 1.3554e-03 7.365e+02 2.655e-01 7.367e+02 9.986e-01 0.000e+00 9.718e-06 5.655e-05 9.718e-06 0.000e+00 4.209e-01 2.449e+00 4.209e-01 
9.7852e-04 1.3653e-03 7.311e+02 2.655e-01 7.314e+02 9.986e-01 0.000e+00 9.860e-06 5.717e-05 9.860e-06 0.000e+00 4.209e-01 2.441e+00 4.209e-01 
9.8563e-04 1.3752e-03 7.259e+02 2.655e-01 7.261e+02 9.986e-01 0.000e+00 1.000e-05 5.779e-05 1.000e-05 0.000e+00 4.209e-01 2.432e+00 4.209e-01 
9.9279e-04 1.3852e-03 7.206e+02 2.655e-01 7.209e+02 9.986e-01 0.000e+00 1.015e-05 5.842e-05 1.015e-05 0.000e+00 4.209e-01 2.423e+00 4.209e-01 
1.0000e-03 1.3953e-03 7.154e+02 2.655e-01 7.157e+02 9.985e-01 0.000e+00 1.030e-05 5.906e-05 1.030e-05 0.000e+00 4.209e-01 2.414e+00 4.209e-01 
1.0073e-03 1.4054e-03 7.102e+02 2.655e-01 7.105e+02 9.985e-01 0.000e+00 1.045e-05 5.971e-05 1.045e-05 0.000e+00 4.209e-01 2.405e+00 4.209e-01 
1.0146e-03 1.4156e-03 7.051e+02 2.655e-01 7.054e+02 9.985e-01 0.000e+00 1.060e-05 6.036e-05 1.060e-05 0.000e+00 4.209e-01 2.397e+00 4.209e-01 
1.0220e-03 1.4259e-03 7.000e+02 2.655e-01 7.003e+02 9.985e-01 0.000e+00 1.075e-05 6.102e-05 1.075e-05 0.000e+00 4.209e-01 2.388e+00 4.209e-01 
1.0294e-03 1.4363e-03 6.949e+02 2.655e-01 6.952e+02 9.985e-01 0.000e+00 1.091e-05 6.168e-05 1.091e-05 0.000e+00 4.209e-01 2.379e+00 4.209e-01 
1.0369e-03 1.4467e-03 6.899e+02 2.655e-01 6.902e+02 9.985e-01 0.000e+00 1.107e-05 6.236e-05 1.107e-05 0.000e+00 4.209e-01 2.371e+00 4.209e-01 
1.0444e-03 1.4572e-03 6.849e+02 2.655e-01 6.852e+02 9.985e-01 0.000e+00 1.123e-05 6.304e-05 1.123e-05 0.000e+00 4.209e-01 2.362e+00 4.209e-01 
1.0520e-03 1.4678e-03 6.800e+02 2.655e-01 6.803e+02 9.985e-01 0.000e+00 1.140e-05 6.372e-05 1.140e-05 0.000e+00 4.209e-01 2.354e+00 4.209e-01 
1.0596e-03 1.4785e-03 6.751e+02 2.655e-01 6.753e+02 9.985e-01 0.000e+00 1.156e-05 6.442e-05 1.156e-05 0.000e+00 4.209e-01 2.345e+00 4.209e-01 
1.0673e-03 1.4892e-03 6.702e+02 2.655e-01 6.705e+02 9.985e-01 0.000e+00 1.173e-05 6.512e-05 1.173e-05 0.000e+00 4.209e-01 2.337e+00 4.209e-01 
1.0751e-03 1.5000e-03 6.653e+02 2.655e-01 6.656e+02 9.984e-01 0.000e+00 1.190e-05 6.583e-05 1.190e-05 0.000e+00 4.209e-01 2.328e+00 4.209e-01 
1.0829e-03 1.5109e-03 6.605e+02 2.655e-01 6.608e+02 9.984e-01 0.000e+00 1.207e-05 6.655e-05 1.207e-05 0.000e+00 4.209e-01 2.320e+00 4.209e-01 
1.0908e-03 1.5219e-03 6.558e+02 2.655e-01 6.560e+02 9.984e-01 0.000e+00 1.225e-05 6.728e-05 1.225e-05 0.000e+00 4.209e-01 2.311e+00 4.209e-01 
1.0987e-03 1.5330e-03 6.510e+02 2.655e-01 6.513e+02 9.984e-01 0.000e+00 1.243e-05 6.801e-05 1.243e-05 0.000e+00 4.209e-01 2.303e+00 4.209e-01 
1.1067e-03 1.5441e-03 6.463e+02 2.655e-01 6.466e+02 9.984e-01 0.000e+00 1.261e-05 6.876e-05 1.261e-05 0.000e+00 4.209e-01 2.295e+00 4.209e-01 
1.1147e-03 1.5553e-03 6.416e+02 2.655e-01 6.419e+02 9.984e-01 0.000e+00 1.279e-05 6.951e-05 1.279e-05 0.000e+00 4.209e-01 2.286e+00 4.209e-01 
1.1228e-03 1.5666e-03 6.370e+02 2.655e-01 6.373e+02 9.984e-01 0.000e+00 1.298e-05 7.027e-05 1.298e-05 0.000e+00 4.208e-01 2.278e+00 4.208e-01 
1.1310e-03 1.5780e-03 6.324e+02 2.655e-01 6.327e+02 9.984e-01 0.000e+00 1.317e-05 7.103e-05 1.317e-05 0.000e+00 4.208e-01 2.270e+00 4.208e-01 
1.1392e-03 1.5895e-03 6.278e+02 2.655e-01 6.281e+02 9.983e-01 0.000e+00 1.336e-05 7.181e-05 1.336e-05 0.000e+00 4.208e-01 2.262e+00 4.208e-01 
1.1475e-03 1.6010e-03 6.233e+02 2.655e-01 6.236e+02 9.983e-01 0.000e+00 1.356e-05 7.259e-05 1.356e-05 0.000e+00 4.208e-01 2.254e+00 4.208e-01 
1.1558e-03 1.6127e-03 6.188e+02 2.655e-01 6.190e+02 9.983e-01 0.000e+00 1.375e-05 7.338e-05 1.375e-05 0.000e+00 4.208e-01 2.245e+00 4.208e-01 
1.1642e-03 1.6244e-03 6.143e+02 2.655e-01 6.146e+02 9.983e-01 0.000e+00 1.395e-05 7.419e-05 1.395e-05 0.000e+00 4.208e-01 2.237e+00 4.208e-01 
1.1727e-03 1.6362e-03 6.099e+02 2.655e-01 6.101e+02 9.983e-01 0.000e+00 1.416e-05 7.500e-05 1.416e-05 0.000e+00 4.208e-01 2.229e+00 4.208e-01 
1.1812e-03 1.6481e-03 6.055e+02 2.655e-01 6.057e+02 9.983e-01 0.000e+00 1.436e-05 7.581e-05 1.436e-05 0.000e+00 4.208e-01 2.221e+00 4.208e-01 
